symbol,entry_date,exit_date,entry_price,exit_price,direction,pnl,reason,equity,win
ES,2026-03-20T14:00:00+00:00,2026-03-27T14:00:00+00:00,652.13,640.22,SHORT,45.6580743103368,TIME_EXIT,100045.65807431034,True
NQ,2026-03-20T14:00:00+00:00,2026-03-27T14:00:00+00:00,585.95,567.38,SHORT,79.23030975339209,TIME_EXIT,100124.88838406373,True
GOLD,2026-03-20T14:00:00+00:00,2026-03-27T14:00:00+00:00,418.98,414.4,SHORT,27.328273425939415,TIME_EXIT,100152.21665748967,True
SPY,2026-03-20T14:00:00+00:00,2026-03-27T14:00:00+00:00,652.13,640.22,SHORT,45.6580743103368,TIME_EXIT,100197.87473180001,True
QQQ,2026-03-20T14:00:00+00:00,2026-03-27T14:00:00+00:00,585.95,567.38,SHORT,79.23030975339209,TIME_EXIT,100277.1050415534,True
NVDA,2026-03-20T14:00:00+00:00,2026-03-27T14:00:00+00:00,175.84,168.67,SHORT,101.93926296633325,TIME_EXIT,100379.04430451973,True
TSLA,2026-03-20T14:00:00+00:00,2026-03-27T14:00:00+00:00,372.845,365.345,SHORT,50.28899408601432,TIME_EXIT,100429.33329860575,True
TSLA,2026-03-24T14:00:00+00:00,2026-03-27T13:00:00+00:00,385.73,364.11552,LONG,-140.68958960905627,HARD_STOP,100288.6437089967,False
TSLA,2026-03-25T14:00:00+00:00,2026-03-26T17:00:00+00:00,393.21,375.93369,LONG,-110.1585474807466,HARD_STOP,100178.48516151594,False
ES,2026-03-27T14:00:00+00:00,2026-04-03T14:00:00+00:00,640.22,655.93,SHORT,-61.455593463473754,TIME_EXIT,100117.02956805247,False
NQ,2026-03-27T14:00:00+00:00,2026-04-03T14:00:00+00:00,567.38,584.71,SHORT,-76.49604973073941,TIME_EXIT,100040.53351832174,False
SPY,2026-03-27T14:00:00+00:00,2026-04-03T14:00:00+00:00,640.22,655.93,SHORT,-61.455593463473754,TIME_EXIT,99979.07792485827,False
QQQ,2026-03-27T14:00:00+00:00,2026-04-03T14:00:00+00:00,567.38,584.71,SHORT,-76.49604973073941,TIME_EXIT,99902.58187512754,False
NVDA,2026-03-27T14:00:00+00:00,2026-04-03T14:00:00+00:00,168.67,177.305,SHORT,-128.2150381469278,TIME_EXIT,99774.36683698061,False
TSLA,2026-03-27T14:00:00+00:00,2026-04-03T14:00:00+00:00,365.345,361.04,SHORT,29.51103604950985,TIME_EXIT,99803.87787303013,True
ES,2026-03-30T09:30:00+00:00,2026-04-01T12:00:00+00:00,634.04,655.47482,SHORT,-84.35107238937566,HARD_STOP,99719.52680064076,False
NQ,2026-03-30T09:30:00+00:00,2026-04-01T12:00:00+00:00,561.78,582.54196,SHORT,-92.21243726390853,HARD_STOP,99627.31436337685,False
SPY,2026-03-30T09:30:00+00:00,2026-04-01T12:00:00+00:00,634.04,655.47482,SHORT,-84.35107238937566,HARD_STOP,99542.96329098748,False
QQQ,2026-03-30T09:30:00+00:00,2026-04-01T12:00:00+00:00,561.78,582.54196,SHORT,-92.21243726390853,HARD_STOP,99450.75085372357,False
