candidate,parquet_sharpe,parquet_perm_p,parquet_verdict,yf_sharpe,yf_perm_p,yf_verdict
adx_trend,0.0,None,SCREENED_OUT,0.0,None,SCREENED_OUT
bb_breakout,0.0,None,SCREENED_OUT,0.0,None,SCREENED_OUT
bb_fade,0.0,None,SCREENED_OUT,0.0,None,SCREENED_OUT
cluster0_long,0.849,0.0123,NOT_SIGNIFICANT,0.709,0.0617,NOT_SIGNIFICANT
cluster1_long,0.0,None,SCREENED_OUT,0.0,None,SCREENED_OUT
hurst_revert,0.0,None,SCREENED_OUT,0.183,0.0123,NOT_SIGNIFICANT
hurst_trend,0.0,None,SCREENED_OUT,0.0,None,SCREENED_OUT
long_only_regime,0.245,0.7778,NOT_SIGNIFICANT,0.486,0.358,NOT_SIGNIFICANT
lowvol_trend,0.608,0.0494,NOT_SIGNIFICANT,0.744,0.0494,NOT_SIGNIFICANT
macd_cross,0.0,None,SCREENED_OUT,0.0,None,SCREENED_OUT
mtf_align,0.3,0.2099,NOT_SIGNIFICANT,0.358,0.1975,NOT_SIGNIFICANT
rsi_meanrevert,0.281,0.0123,NOT_SIGNIFICANT,0.0,None,SCREENED_OUT
rsi_trend_combo,0.0,None,SCREENED_OUT,0.0,None,SCREENED_OUT
sma50_dist,0.0,None,SCREENED_OUT,0.0,None,SCREENED_OUT
trend_filtered,0.0,None,SCREENED_OUT,0.0,None,SCREENED_OUT
trend_mom20,0.0,None,SCREENED_OUT,0.0,None,SCREENED_OUT
