symbol,entry_date,exit_date,entry_price,exit_price,direction,confidence,game_score,reason,pnl,equity,win,mae,mfe
GOLD,2026-03-02T09:30:00+00:00,2026-03-02T14:00:00+00:00,483.8,483.88,LONG,0.6763615329309036,0.5,TAKE_PROFIT,3.3840472549245235,55051.559884292314,True,,
GLD,2026-03-02T09:30:00+00:00,2026-03-02T14:00:00+00:00,483.8,483.88,LONG,0.6763615329309036,0.5,TAKE_PROFIT,3.3840472549245235,55054.94393154724,True,,
NVDA,2026-03-02T09:30:00+00:00,2026-03-02T14:00:00+00:00,177.53,176.38,SHORT,0.6834921962367794,0.5,TAKE_PROFIT,44.43319576242671,55099.377127309665,True,,
PFE,2026-03-02T09:30:00+00:00,2026-03-03T14:00:00+00:00,27.65,26.85312,LONG,0.6390353639052201,0.5,STOP_LOSS,-494.4726771773365,54604.90445013233,False,,
XOM,2026-03-02T09:30:00+00:00,2026-03-02T14:00:00+00:00,152.59,153.62,LONG,0.6150372584937311,0.5,TAKE_PROFIT,78.58575344719102,54683.49020357952,True,,
GOLD,2026-03-02T14:00:00+00:00,2026-03-03T13:00:00+00:00,490.005,473.77575,LONG,0.6455642060103146,0.5,STOP_LOSS,-678.273199443729,54005.2170041358,False,,
LQD,2026-03-02T14:00:00+00:00,2026-03-02T15:00:00+00:00,110.85,110.705,SHORT,0.6624415366395755,0.5,TAKE_PROFIT,139.63205674624845,54144.84906088204,True,,
HYG,2026-03-02T14:00:00+00:00,2026-03-03T14:00:00+00:00,80.145,80.04,SHORT,0.7275090903814316,0.5,TAKE_PROFIT,137.4097958961603,54282.2588567782,True,,
GLD,2026-03-02T14:00:00+00:00,2026-03-03T13:00:00+00:00,490.005,473.77575,LONG,0.6455642060103146,0.5,STOP_LOSS,-678.273199443729,53603.98565733447,False,,
USO,2026-03-02T14:00:00+00:00,2026-03-02T20:00:00+00:00,86.57,88.29,LONG,0.6794590883778381,0.5,TAKE_PROFIT,171.62312728604817,53775.60878462052,True,,
AMD,2026-03-02T14:00:00+00:00,2026-03-03T15:00:00+00:00,193.625,190.0,SHORT,0.657354329310577,0.5,TAKE_PROFIT,150.32498491877087,53925.93376953929,True,,
ARM,2026-03-02T14:00:00+00:00,2026-03-02T16:00:00+00:00,124.04,121.94,SHORT,0.6376330394467555,0.5,TAKE_PROFIT,109.5168769761905,54035.45064651548,True,,
PLTR,2026-03-02T14:00:00+00:00,2026-03-02T15:00:00+00:00,143.76,144.85,LONG,0.6819128588848115,0.5,TAKE_PROFIT,48.836202970812344,54084.28684948629,True,,
SOUN,2026-03-02T14:00:00+00:00,2026-03-09T14:00:00+00:00,8.115,7.71,SHORT,0.6398461623796483,0.5,TIME_EXIT,291.27403939415973,54375.56088888045,True,,
