t,equity,pnl,ret,pair
2015-01-07,99992.33,-7.67,-7.7e-05,USDJPY=X
2015-02-16,99998.48,6.15,6.2e-05,USDJPY=X
2015-03-10,100005.99,7.51,7.5e-05,USDJPY=X
2015-03-31,100012.25,6.26,6.3e-05,USDJPY=X
2015-04-09,100006.18,-6.07,-6.1e-05,EURUSD=X
2015-04-16,100003.45,-2.73,-2.7e-05,USDJPY=X
2015-06-11,100020.6,17.15,0.000172,USDJPY=X
2015-07-09,100005.62,-14.98,-0.00015,USDJPY=X
2015-07-14,100012.02,6.4,6.4e-05,GBPUSD=X
2015-08-20,100011.73,-0.28,-3e-06,USDJPY=X
2015-12-10,100004.31,-7.42,-7.4e-05,USDJPY=X
2016-01-04,100004.2,-0.11,-1e-06,USDJPY=X
2016-01-05,100003.96,-0.25,-2e-06,EURUSD=X
2016-01-05,100003.86,-0.1,-1e-06,GBPUSD=X
2016-01-11,100018.76,14.9,0.000149,USDJPY=X
2016-01-13,100005.55,-13.21,-0.000132,GBPUSD=X
2016-01-15,100012.84,7.29,7.3e-05,EURUSD=X
2016-02-02,100012.68,-0.16,-2e-06,USDJPY=X
2016-02-09,100030.91,18.23,0.000182,EURUSD=X
2016-02-09,100029.26,-1.65,-1.7e-05,GBPUSD=X
2016-02-09,100055.31,26.05,0.00026,USDJPY=X
2016-03-09,100064.4,9.09,9.1e-05,EURUSD=X
2016-03-09,100057.09,-7.31,-7.3e-05,GBPUSD=X
2016-03-09,100062.46,5.36,5.4e-05,USDJPY=X
2016-03-25,100062.33,-0.13,-1e-06,USDJPY=X
2016-04-07,100051.84,-10.49,-0.000105,USDJPY=X
2016-04-11,100059.26,7.42,7.4e-05,GBPUSD=X
2016-04-14,100066.23,6.97,7e-05,EURUSD=X
2016-05-09,100057.09,-9.14,-9.1e-05,EURUSD=X
2016-05-09,100069.79,12.71,0.000127,GBPUSD=X
2016-05-09,100062.91,-6.89,-6.9e-05,USDJPY=X
2016-06-09,100079.78,16.87,0.000169,EURUSD=X
2016-06-09,100073.53,-6.25,-6.2e-05,GBPUSD=X
2016-06-09,100088.14,14.61,0.000146,USDJPY=X
2016-07-11,100081.14,-7.0,-7e-05,EURUSD=X
2016-07-11,100060.83,-20.32,-0.000203,GBPUSD=X
2016-07-14,100072.17,11.34,0.000113,USDJPY=X
2016-08-08,100063.39,-8.78,-8.8e-05,EURUSD=X
2016-08-09,100081.54,18.15,0.000181,GBPUSD=X
2016-08-09,100072.41,-9.13,-9.1e-05,USDJPY=X
