t,equity,pnl,ret,pair
2023-01-03,99999.87,-0.13,-1e-06,EURUSD=X
2023-01-03,99999.81,-0.07,-1e-06,GBPUSD=X
2023-01-03,99999.74,-0.07,-1e-06,USDJPY=X
2023-01-24,100020.37,20.63,0.000206,EURUSD=X
2023-01-24,100046.0,25.64,0.000256,GBPUSD=X
2023-01-24,100049.5,3.5,3.5e-05,USDJPY=X
2023-02-03,100059.4,9.9,9.9e-05,GBPUSD=X
2023-02-09,100077.36,17.95,0.000179,EURUSD=X
2023-02-23,100068.67,-8.69,-8.7e-05,EURUSD=X
2023-03-01,100067.79,-0.88,-9e-06,GBPUSD=X
2023-03-02,100067.66,-0.13,-1e-06,EURUSD=X
2023-03-02,100111.89,44.23,0.000442,USDJPY=X
2023-03-08,100108.65,-3.24,-3.2e-05,EURUSD=X
2023-03-09,100111.47,2.82,2.8e-05,USDJPY=X
2023-03-14,100102.52,-8.96,-8.9e-05,GBPUSD=X
2023-03-31,100112.14,9.62,9.6e-05,USDJPY=X
2023-04-03,100114.75,2.61,2.6e-05,GBPUSD=X
2023-04-10,100113.96,-0.79,-8e-06,GBPUSD=X
2023-04-10,100112.78,-1.19,-1.2e-05,USDJPY=X
2023-04-18,100118.18,5.4,5.4e-05,EURUSD=X
2023-05-02,100118.06,-0.12,-1e-06,EURUSD=X
2023-05-04,100101.75,-16.31,-0.000163,USDJPY=X
2023-05-09,100100.71,-1.04,-1e-05,EURUSD=X
2023-05-09,100108.56,7.85,7.8e-05,GBPUSD=X
2023-05-26,100100.23,-8.33,-8.3e-05,GBPUSD=X
2023-06-01,100113.41,13.18,0.000132,EURUSD=X
2023-06-09,100118.54,5.13,5.1e-05,EURUSD=X
2023-06-09,100126.21,7.68,7.7e-05,GBPUSD=X
2023-07-03,100156.85,30.64,0.000306,USDJPY=X
2023-07-04,100156.79,-0.06,-1e-06,USDJPY=X
2023-07-10,100155.98,-0.81,-8e-06,EURUSD=X
2023-07-14,100179.16,23.18,0.000231,GBPUSD=X
2023-07-14,100211.96,32.81,0.000327,USDJPY=X
2023-08-02,100211.84,-0.12,-1e-06,EURUSD=X
2023-08-09,100212.6,0.76,8e-06,EURUSD=X
2023-08-09,100213.87,1.27,1.3e-05,GBPUSD=X
2023-08-24,100222.86,8.98,9e-05,USDJPY=X
2023-09-04,100222.82,-0.03,-0.0,GBPUSD=X
2023-09-07,100215.09,-7.73,-7.7e-05,GBPUSD=X
2023-09-11,100210.2,-4.9,-4.9e-05,EURUSD=X
2023-09-28,100230.53,20.33,0.000203,GBPUSD=X
2023-10-02,100248.51,17.98,0.000179,USDJPY=X
2023-10-03,100248.22,-0.28,-3e-06,GBPUSD=X
2023-10-03,100248.17,-0.06,-1e-06,USDJPY=X
2023-10-04,100248.58,0.41,4e-06,EURUSD=X
2023-10-13,100254.94,6.36,6.3e-05,GBPUSD=X
2023-10-13,100251.79,-3.15,-3.1e-05,USDJPY=X
2023-10-16,100252.56,0.77,8e-06,EURUSD=X
2023-11-09,100258.2,5.63,5.6e-05,EURUSD=X
2023-11-09,100263.84,5.65,5.6e-05,GBPUSD=X
2023-12-08,100252.95,-10.9,-0.000109,USDJPY=X
2023-12-11,100248.34,-4.61,-4.6e-05,EURUSD=X
2023-12-11,100243.47,-4.87,-4.9e-05,GBPUSD=X
2024-01-09,100242.73,-0.75,-7e-06,EURUSD=X
2024-01-09,100235.35,-7.38,-7.4e-05,GBPUSD=X
2024-01-09,100246.29,10.94,0.000109,USDJPY=X
2024-02-09,100245.97,-0.32,-3e-06,EURUSD=X
2024-02-09,100246.04,0.07,1e-06,GBPUSD=X
2024-02-09,100249.84,3.81,3.8e-05,USDJPY=X
2024-03-07,100245.61,-4.23,-4.2e-05,USDJPY=X
2024-03-11,100250.9,5.29,5.3e-05,EURUSD=X
2024-03-11,100260.52,9.61,9.6e-05,GBPUSD=X
2024-04-02,100260.46,-0.06,-1e-06,USDJPY=X
2024-04-09,100266.25,5.79,5.8e-05,EURUSD=X
2024-04-09,100271.02,4.76,4.8e-05,GBPUSD=X
2024-04-11,100263.82,-7.19,-7.2e-05,USDJPY=X
2024-05-09,100264.55,0.72,7e-06,EURUSD=X
2024-05-09,100261.6,-2.95,-2.9e-05,GBPUSD=X
2024-05-09,100273.23,11.63,0.000116,USDJPY=X
2024-06-10,100265.17,-8.06,-8e-05,EURUSD=X
2024-06-10,100260.29,-4.88,-4.9e-05,GBPUSD=X
2024-07-02,100260.24,-0.05,-0.0,EURUSD=X
2024-07-02,100286.49,26.25,0.000262,USDJPY=X
2024-07-09,100291.51,5.02,5e-05,EURUSD=X
2024-07-09,100298.92,7.41,7.4e-05,GBPUSD=X
2024-07-12,100314.17,15.26,0.000152,USDJPY=X
2024-09-05,100296.7,-17.47,-0.000174,USDJPY=X
2024-09-11,100293.73,-2.97,-3e-05,EURUSD=X
2024-09-20,100301.61,7.88,7.9e-05,GBPUSD=X
2024-10-10,100314.62,13.01,0.00013,EURUSD=X
2024-11-29,100327.21,12.59,0.000126,GBPUSD=X
2024-12-09,100331.18,3.97,4e-05,EURUSD=X
2024-12-09,100325.61,-5.57,-5.5e-05,GBPUSD=X
2024-12-09,100328.21,2.6,2.6e-05,USDJPY=X
