t,equity,pnl,ret,pair
2023-01-03,99999.87,-0.13,-1e-06,EURUSD=X
2023-01-03,99999.81,-0.07,-1e-06,GBPUSD=X
2023-01-03,99999.74,-0.07,-1e-06,USDJPY=X
2023-01-03,99999.47,-0.27,-3e-06,AUDUSD=X
2023-01-24,100020.1,20.63,0.000206,EURUSD=X
2023-01-24,100045.74,25.64,0.000256,GBPUSD=X
2023-01-24,100049.24,3.5,3.5e-05,USDJPY=X
2023-01-24,100082.54,33.3,0.000333,AUDUSD=X
2023-02-03,100092.44,9.9,9.9e-05,GBPUSD=X
2023-02-09,100110.4,17.96,0.000179,EURUSD=X
2023-02-23,100101.71,-8.69,-8.7e-05,EURUSD=X
2023-03-01,100100.82,-0.88,-9e-06,GBPUSD=X
2023-03-02,100100.7,-0.13,-1e-06,EURUSD=X
2023-03-02,100144.94,44.25,0.000442,USDJPY=X
2023-03-02,100185.11,40.17,0.000401,AUDUSD=X
2023-03-08,100181.87,-3.24,-3.2e-05,EURUSD=X
2023-03-09,100184.7,2.83,2.8e-05,USDJPY=X
2023-03-09,100200.14,15.45,0.000154,AUDUSD=X
2023-03-14,100191.18,-8.96,-8.9e-05,GBPUSD=X
2023-03-31,100200.81,9.63,9.6e-05,USDJPY=X
2023-04-03,100203.42,2.62,2.6e-05,GBPUSD=X
2023-04-10,100202.63,-0.79,-8e-06,GBPUSD=X
2023-04-10,100201.45,-1.19,-1.2e-05,USDJPY=X
2023-04-10,100213.9,12.45,0.000124,AUDUSD=X
2023-04-18,100219.3,5.41,5.4e-05,EURUSD=X
2023-05-02,100219.18,-0.12,-1e-06,EURUSD=X
2023-05-04,100202.86,-16.33,-0.000163,USDJPY=X
2023-05-05,100194.26,-8.6,-8.6e-05,AUDUSD=X
2023-05-09,100193.21,-1.04,-1e-05,EURUSD=X
2023-05-09,100201.07,7.86,7.8e-05,GBPUSD=X
2023-05-26,100192.73,-8.34,-8.3e-05,GBPUSD=X
2023-06-01,100205.92,13.19,0.000132,EURUSD=X
2023-06-07,100194.09,-11.83,-0.000118,AUDUSD=X
2023-06-09,100199.22,5.13,5.1e-05,EURUSD=X
2023-06-09,100206.91,7.68,7.7e-05,GBPUSD=X
2023-07-03,100237.57,30.66,0.000306,USDJPY=X
2023-07-04,100237.51,-0.06,-1e-06,USDJPY=X
2023-07-10,100236.69,-0.82,-8e-06,EURUSD=X
2023-07-10,100234.8,-1.9,-1.9e-05,AUDUSD=X
2023-07-14,100258.0,23.2,0.000231,GBPUSD=X
2023-07-14,100290.83,32.83,0.000327,USDJPY=X
2023-08-02,100290.7,-0.12,-1e-06,EURUSD=X
2023-08-09,100291.47,0.76,8e-06,EURUSD=X
2023-08-09,100292.74,1.27,1.3e-05,GBPUSD=X
2023-08-24,100301.73,8.99,9e-05,USDJPY=X
2023-08-24,100316.98,15.25,0.000152,AUDUSD=X
2023-09-04,100316.94,-0.03,-0.0,GBPUSD=X
2023-09-07,100309.21,-7.74,-7.7e-05,GBPUSD=X
2023-09-11,100304.31,-4.9,-4.9e-05,EURUSD=X
2023-09-18,100305.43,1.12,1.1e-05,AUDUSD=X
2023-09-28,100325.78,20.35,0.000203,GBPUSD=X
2023-10-02,100343.78,18.0,0.000179,USDJPY=X
2023-10-03,100343.49,-0.28,-3e-06,GBPUSD=X
2023-10-03,100343.44,-0.06,-1e-06,USDJPY=X
2023-10-03,100343.15,-0.29,-3e-06,AUDUSD=X
2023-10-04,100343.56,0.41,4e-06,EURUSD=X
2023-10-13,100349.93,6.37,6.3e-05,GBPUSD=X
2023-10-13,100346.78,-3.15,-3.1e-05,USDJPY=X
2023-10-13,100347.42,0.64,6e-06,AUDUSD=X
2023-10-16,100348.19,0.77,8e-06,EURUSD=X
2023-11-06,100336.85,-11.33,-0.000113,AUDUSD=X
2023-11-09,100342.49,5.64,5.6e-05,EURUSD=X
2023-11-09,100348.14,5.65,5.6e-05,GBPUSD=X
2023-12-08,100337.24,-10.91,-0.000109,USDJPY=X
2023-12-11,100332.63,-4.61,-4.6e-05,EURUSD=X
2023-12-11,100327.75,-4.87,-4.9e-05,GBPUSD=X
2023-12-11,100331.7,3.95,3.9e-05,AUDUSD=X
2024-01-09,100330.96,-0.75,-7e-06,EURUSD=X
2024-01-09,100323.57,-7.38,-7.4e-05,GBPUSD=X
2024-01-09,100334.52,10.95,0.000109,USDJPY=X
2024-01-09,100339.32,4.8,4.8e-05,AUDUSD=X
2024-02-09,100339.0,-0.32,-3e-06,EURUSD=X
2024-02-09,100339.07,0.07,1e-06,GBPUSD=X
2024-02-09,100342.88,3.81,3.8e-05,USDJPY=X
2024-02-09,100341.73,-1.15,-1.2e-05,AUDUSD=X
2024-03-07,100337.49,-4.24,-4.2e-05,USDJPY=X
2024-03-11,100342.79,5.3,5.3e-05,EURUSD=X
2024-03-11,100352.41,9.62,9.6e-05,GBPUSD=X
2024-03-11,100365.62,13.21,0.000132,AUDUSD=X
2024-04-02,100365.56,-0.06,-1e-06,USDJPY=X
2024-04-09,100371.36,5.8,5.8e-05,EURUSD=X
2024-04-09,100376.13,4.77,4.8e-05,GBPUSD=X
2024-04-09,100386.31,10.18,0.000101,AUDUSD=X
2024-04-11,100379.11,-7.2,-7.2e-05,USDJPY=X
2024-05-02,100378.83,-0.28,-3e-06,AUDUSD=X
2024-05-09,100379.55,0.72,7e-06,EURUSD=X
2024-05-09,100376.6,-2.95,-2.9e-05,GBPUSD=X
2024-05-09,100388.25,11.65,0.000116,USDJPY=X
2024-05-09,100388.58,0.33,3e-06,AUDUSD=X
2024-06-10,100380.51,-8.07,-8e-05,EURUSD=X
2024-06-10,100375.62,-4.89,-4.9e-05,GBPUSD=X
2024-06-10,100363.25,-12.36,-0.000123,AUDUSD=X
2024-07-02,100363.21,-0.05,-0.0,EURUSD=X
2024-07-02,100389.48,26.28,0.000262,USDJPY=X
2024-07-09,100394.51,5.02,5e-05,EURUSD=X
2024-07-09,100401.92,7.42,7.4e-05,GBPUSD=X
2024-07-09,100410.1,8.18,8.1e-05,AUDUSD=X
2024-07-12,100425.37,15.27,0.000152,USDJPY=X
2024-09-04,100416.97,-8.4,-8.4e-05,AUDUSD=X
2024-09-05,100399.48,-17.49,-0.000174,USDJPY=X
2024-09-09,100391.42,-8.06,-8e-05,AUDUSD=X
2024-09-11,100388.45,-2.97,-3e-05,EURUSD=X
2024-09-20,100396.34,7.89,7.9e-05,GBPUSD=X
2024-10-07,100386.61,-9.73,-9.7e-05,AUDUSD=X
2024-10-10,100399.63,13.02,0.00013,EURUSD=X
2024-11-29,100412.23,12.6,0.000126,GBPUSD=X
2024-12-09,100416.2,3.97,4e-05,EURUSD=X
2024-12-09,100410.63,-5.57,-5.5e-05,GBPUSD=X
2024-12-09,100413.23,2.6,2.6e-05,USDJPY=X
2024-12-09,100404.18,-9.05,-9e-05,AUDUSD=X
