t,equity,pnl,ret,pair
2015-01-07,99992.33,-7.67,-7.7e-05,USDJPY=X
2015-02-16,99998.48,6.15,6.2e-05,USDJPY=X
2015-02-23,99993.67,-4.81,-4.8e-05,AUDUSD=X
2015-03-10,100001.17,7.51,7.5e-05,USDJPY=X
2015-03-31,100007.43,6.26,6.3e-05,USDJPY=X
2015-04-09,100001.36,-6.07,-6.1e-05,EURUSD=X
2015-04-14,100001.62,0.26,3e-06,AUDUSD=X
2015-04-16,99998.89,-2.73,-2.7e-05,USDJPY=X
2015-06-11,100016.04,17.15,0.000172,USDJPY=X
2015-07-09,100001.06,-14.98,-0.00015,USDJPY=X
2015-07-14,100007.46,6.4,6.4e-05,GBPUSD=X
2015-08-20,100007.18,-0.28,-3e-06,USDJPY=X
2015-10-14,100025.65,18.47,0.000185,AUDUSD=X
2015-12-10,100018.23,-7.42,-7.4e-05,USDJPY=X
2016-01-04,100018.12,-0.11,-1e-06,USDJPY=X
2016-01-05,100017.87,-0.25,-2e-06,EURUSD=X
2016-01-05,100017.78,-0.1,-1e-06,GBPUSD=X
2016-01-05,100007.23,-10.55,-0.000105,AUDUSD=X
2016-01-11,100022.13,14.9,0.000149,USDJPY=X
2016-01-13,100008.92,-13.21,-0.000132,GBPUSD=X
2016-01-15,100016.21,7.29,7.3e-05,EURUSD=X
2016-02-02,100016.05,-0.16,-2e-06,USDJPY=X
2016-02-08,100022.01,5.96,6e-05,AUDUSD=X
2016-02-09,100040.24,18.23,0.000182,EURUSD=X
2016-02-09,100038.59,-1.65,-1.7e-05,GBPUSD=X
2016-02-09,100064.64,26.05,0.00026,USDJPY=X
2016-03-09,100073.73,9.09,9.1e-05,EURUSD=X
2016-03-09,100066.42,-7.31,-7.3e-05,GBPUSD=X
2016-03-09,100071.79,5.36,5.4e-05,USDJPY=X
2016-03-09,100086.71,14.92,0.000149,AUDUSD=X
2016-03-25,100086.58,-0.13,-1e-06,USDJPY=X
2016-04-04,100086.4,-0.18,-2e-06,AUDUSD=X
2016-04-07,100075.9,-10.49,-0.000105,USDJPY=X
2016-04-11,100083.33,7.43,7.4e-05,GBPUSD=X
2016-04-13,100074.53,-8.8,-8.8e-05,AUDUSD=X
2016-04-14,100081.5,6.97,7e-05,EURUSD=X
2016-05-03,100081.24,-0.26,-3e-06,AUDUSD=X
2016-05-09,100072.1,-9.14,-9.1e-05,EURUSD=X
2016-05-09,100084.81,12.71,0.000127,GBPUSD=X
2016-05-09,100077.92,-6.89,-6.9e-05,USDJPY=X
