t,equity,pnl,ret,pair
2015-01-07,99992.22,-7.78,-7.8e-05,USDJPY=X
2015-02-16,99998.01,5.79,5.8e-05,USDJPY=X
2015-02-23,99991.79,-6.22,-6.2e-05,AUDUSD=X
2015-03-10,99999.08,7.3,7.3e-05,USDJPY=X
2015-03-31,100005.08,6.0,6e-05,USDJPY=X
2015-04-09,99998.83,-6.25,-6.3e-05,EURUSD=X
2015-04-14,99999.28,0.45,5e-06,AUDUSD=X
2015-04-16,99996.17,-3.12,-3.1e-05,USDJPY=X
2015-06-11,100012.31,16.14,0.000161,USDJPY=X
2015-07-09,99997.12,-15.19,-0.000152,USDJPY=X
2015-07-14,100003.26,6.14,6.1e-05,GBPUSD=X
2015-08-20,100002.54,-0.72,-7e-06,USDJPY=X
2015-10-14,100021.18,18.64,0.000186,AUDUSD=X
2015-12-10,100013.55,-7.63,-7.6e-05,USDJPY=X
2016-01-04,100013.42,-0.13,-1e-06,USDJPY=X
2016-01-05,100013.17,-0.25,-3e-06,EURUSD=X
2016-01-05,100013.05,-0.12,-1e-06,GBPUSD=X
2016-01-05,100002.54,-10.51,-0.000105,AUDUSD=X
2016-01-11,100017.32,14.78,0.000148,USDJPY=X
2016-01-13,100003.96,-13.36,-0.000134,GBPUSD=X
2016-01-15,100010.93,6.97,7e-05,EURUSD=X
2016-02-02,100010.75,-0.18,-2e-06,USDJPY=X
2016-02-08,100016.77,6.01,6e-05,AUDUSD=X
2016-02-09,100034.77,18.0,0.00018,EURUSD=X
2016-02-09,100032.97,-1.8,-1.8e-05,GBPUSD=X
2016-02-09,100058.89,25.92,0.000259,USDJPY=X
2016-03-09,100067.75,8.86,8.9e-05,EURUSD=X
2016-03-09,100060.3,-7.46,-7.5e-05,GBPUSD=X
2016-03-09,100065.53,5.23,5.2e-05,USDJPY=X
2016-03-09,100080.55,15.03,0.00015,AUDUSD=X
2016-03-25,100080.14,-0.42,-4e-06,USDJPY=X
2016-04-04,100079.97,-0.16,-2e-06,AUDUSD=X
2016-04-07,100069.42,-10.55,-0.000105,USDJPY=X
2016-04-11,100076.7,7.28,7.3e-05,GBPUSD=X
2016-04-13,100067.43,-9.27,-9.3e-05,AUDUSD=X
2016-04-14,100074.38,6.95,6.9e-05,EURUSD=X
2016-05-03,100074.13,-0.25,-2e-06,AUDUSD=X
2016-05-09,100064.74,-9.39,-9.4e-05,EURUSD=X
2016-05-09,100077.31,12.56,0.000126,GBPUSD=X
2016-05-09,100070.28,-7.03,-7e-05,USDJPY=X
2016-05-24,100096.42,26.14,0.000261,AUDUSD=X
2016-06-09,100113.06,16.63,0.000166,EURUSD=X
2016-06-09,100106.66,-6.39,-6.4e-05,GBPUSD=X
2016-06-09,100121.13,14.47,0.000145,USDJPY=X
2016-06-09,100148.62,27.5,0.000275,AUDUSD=X
2016-07-11,100141.38,-7.25,-7.2e-05,EURUSD=X
2016-07-11,100120.91,-20.47,-0.000204,GBPUSD=X
2016-07-11,100123.61,2.69,2.7e-05,AUDUSD=X
2016-07-14,100134.78,11.17,0.000112,USDJPY=X
2016-08-08,100125.85,-8.92,-8.9e-05,EURUSD=X
2016-08-09,100143.87,18.02,0.00018,GBPUSD=X
2016-08-09,100134.59,-9.28,-9.3e-05,USDJPY=X
2016-08-09,100140.29,5.7,5.7e-05,AUDUSD=X
2016-08-24,100129.29,-11.0,-0.00011,GBPUSD=X
2016-09-07,100122.89,-6.4,-6.4e-05,EURUSD=X
2016-09-09,100121.69,-1.2,-1.2e-05,GBPUSD=X
2016-09-09,100133.34,11.65,0.000116,USDJPY=X
2016-09-12,100132.49,-0.85,-8e-06,AUDUSD=X
2016-10-05,100125.05,-7.43,-7.4e-05,AUDUSD=X
2016-10-07,100152.76,27.7,0.000277,GBPUSD=X
2016-10-10,100153.69,0.94,9e-06,EURUSD=X
2016-10-19,100144.93,-8.77,-8.8e-05,GBPUSD=X
2016-11-02,100161.07,16.14,0.000161,USDJPY=X
2016-11-10,100161.13,0.07,1e-06,AUDUSD=X
2016-12-02,100161.09,-0.04,-0.0,USDJPY=X
2016-12-06,100147.69,-13.4,-0.000134,EURUSD=X
2016-12-09,100152.78,5.09,5.1e-05,GBPUSD=X
2016-12-09,100148.85,-3.94,-3.9e-05,USDJPY=X
2016-12-09,100150.64,1.79,1.8e-05,AUDUSD=X
2017-01-03,100150.43,-0.21,-2e-06,EURUSD=X
2017-01-03,100150.39,-0.04,-0.0,USDJPY=X
2017-01-09,100151.52,1.13,1.1e-05,GBPUSD=X
2017-01-09,100154.69,3.17,3.2e-05,USDJPY=X
2017-01-09,100166.57,11.88,0.000119,AUDUSD=X
2017-01-13,100180.32,13.75,0.000137,EURUSD=X
2017-02-09,100185.16,4.84,4.8e-05,EURUSD=X
2017-02-09,100184.45,-0.71,-7e-06,GBPUSD=X
2017-02-09,100189.65,5.2,5.2e-05,USDJPY=X
2017-02-09,100186.92,-2.73,-2.7e-05,AUDUSD=X
2017-03-02,100186.99,0.07,1e-06,USDJPY=X
2017-03-03,100178.16,-8.83,-8.8e-05,AUDUSD=X
2017-03-06,100170.03,-8.14,-8.1e-05,EURUSD=X
2017-03-09,100176.15,6.12,6.1e-05,GBPUSD=X
2017-03-09,100175.24,-0.91,-9e-06,USDJPY=X
2017-03-31,100194.03,18.8,0.000188,USDJPY=X
2017-04-05,100192.84,-1.19,-1.2e-05,USDJPY=X
2017-04-07,100186.3,-6.54,-6.5e-05,AUDUSD=X
2017-04-10,100192.4,6.1,6.1e-05,EURUSD=X
2017-04-10,100199.48,7.09,7.1e-05,GBPUSD=X
2017-04-12,100193.86,-5.62,-5.6e-05,USDJPY=X
2017-05-09,100194.31,0.45,5e-06,EURUSD=X
2017-05-09,100194.14,-0.17,-2e-06,GBPUSD=X
2017-06-09,100200.12,5.98,6e-05,EURUSD=X
2017-06-09,100208.83,8.71,8.7e-05,GBPUSD=X
2017-07-10,100206.88,-1.95,-1.9e-05,EURUSD=X
2017-07-10,100210.12,3.24,3.2e-05,GBPUSD=X
2017-07-10,100214.12,4.0,4e-05,USDJPY=X
2017-07-10,100219.66,5.54,5.5e-05,AUDUSD=X
2017-07-21,100231.61,11.95,0.000119,USDJPY=X
2017-08-09,100237.71,6.1,6.1e-05,EURUSD=X
2017-08-09,100252.22,14.51,0.000145,GBPUSD=X
2017-09-04,100252.26,0.04,0.0,USDJPY=X
2017-09-08,100243.67,-8.59,-8.6e-05,EURUSD=X
2017-09-11,100229.21,-14.46,-0.000144,GBPUSD=X
2017-09-11,100239.43,10.22,0.000102,USDJPY=X
2017-09-14,100240.42,0.99,1e-05,AUDUSD=X
2017-10-09,100239.79,-0.63,-6e-06,EURUSD=X
2017-10-09,100251.11,11.32,0.000113,GBPUSD=X
2017-10-09,100246.18,-4.93,-4.9e-05,AUDUSD=X
2017-10-16,100240.16,-6.01,-6e-05,USDJPY=X
2017-11-03,100240.1,-0.07,-1e-06,GBPUSD=X
2017-11-17,100232.52,-7.58,-7.6e-05,USDJPY=X
2017-11-24,100245.54,13.02,0.00013,GBPUSD=X
2017-12-11,100250.33,4.79,4.8e-05,GBPUSD=X
2017-12-15,100247.36,-2.97,-3e-05,USDJPY=X
2018-01-09,100241.11,-6.25,-6.2e-05,EURUSD=X
2018-01-09,100239.24,-1.88,-1.9e-05,AUDUSD=X
2018-01-11,100230.39,-8.85,-8.8e-05,USDJPY=X
2018-02-08,100219.22,-11.17,-0.000111,EURUSD=X
2018-02-09,100230.16,10.94,0.000109,AUDUSD=X
2018-03-08,100222.94,-7.22,-7.2e-05,AUDUSD=X
2018-05-09,100228.25,5.31,5.3e-05,EURUSD=X
2018-05-09,100226.57,-1.68,-1.7e-05,GBPUSD=X
2018-05-09,100229.99,3.41,3.4e-05,AUDUSD=X
2018-06-04,100229.92,-0.07,-1e-06,USDJPY=X
2018-06-11,100224.69,-5.23,-5.2e-05,EURUSD=X
2018-06-11,100229.93,5.23,5.2e-05,GBPUSD=X
2018-06-11,100233.06,3.14,3.1e-05,USDJPY=X
2018-06-11,100237.68,4.62,4.6e-05,AUDUSD=X
2018-07-03,100237.49,-0.19,-2e-06,EURUSD=X
2018-07-03,100237.17,-0.32,-3e-06,AUDUSD=X
2018-07-09,100246.21,9.04,9e-05,GBPUSD=X
2018-07-12,100244.5,-1.71,-1.7e-05,AUDUSD=X
2018-07-13,100244.11,-0.39,-4e-06,EURUSD=X
2018-08-02,100243.93,-0.18,-2e-06,USDJPY=X
2018-08-08,100237.01,-6.92,-6.9e-05,AUDUSD=X
2018-08-09,100235.45,-1.57,-1.6e-05,EURUSD=X
2018-08-09,100226.73,-8.72,-8.7e-05,GBPUSD=X
2018-08-09,100231.66,4.93,4.9e-05,USDJPY=X
2018-09-07,100227.82,-3.84,-3.8e-05,USDJPY=X
2018-09-10,100231.25,3.43,3.4e-05,EURUSD=X
2018-09-10,100234.63,3.39,3.4e-05,GBPUSD=X
2018-09-10,100243.46,8.83,8.8e-05,AUDUSD=X
2018-10-09,100249.91,6.45,6.4e-05,GBPUSD=X
2018-10-09,100244.34,-5.57,-5.6e-05,USDJPY=X
2018-10-12,100243.74,-0.6,-6e-06,EURUSD=X
2018-10-16,100248.98,5.25,5.2e-05,AUDUSD=X
2018-11-08,100240.56,-8.42,-8.4e-05,AUDUSD=X
2018-11-09,100243.79,3.23,3.2e-05,GBPUSD=X
2018-11-19,100243.46,-0.33,-3e-06,EURUSD=X
2018-11-19,100243.8,0.35,3e-06,USDJPY=X
2018-12-10,100240.93,-2.88,-2.9e-05,EURUSD=X
2018-12-10,100239.88,-1.04,-1e-05,GBPUSD=X
2018-12-10,100257.01,17.12,0.000171,AUDUSD=X
2019-01-02,100256.89,-0.12,-1e-06,EURUSD=X
2019-01-02,100256.64,-0.24,-2e-06,GBPUSD=X
2019-01-09,100265.17,8.53,8.5e-05,EURUSD=X
2019-01-09,100278.59,13.42,0.000134,GBPUSD=X
2019-01-09,100287.98,9.39,9.4e-05,USDJPY=X
2019-01-09,100313.93,25.95,0.000259,AUDUSD=X
2019-02-04,100313.96,0.04,0.0,EURUSD=X
2019-02-04,100313.92,-0.04,-0.0,GBPUSD=X
2019-02-07,100302.69,-11.23,-0.000112,AUDUSD=X
2019-02-08,100295.86,-6.83,-6.8e-05,EURUSD=X
2019-02-11,100289.53,-6.33,-6.3e-05,GBPUSD=X
2019-03-04,100289.39,-0.14,-1e-06,EURUSD=X
2019-03-08,100279.66,-9.73,-9.7e-05,EURUSD=X
2019-03-08,100272.07,-7.59,-7.6e-05,AUDUSD=X
2019-03-11,100259.97,-12.1,-0.000121,GBPUSD=X
2019-03-11,100255.5,-4.46,-4.5e-05,USDJPY=X
2019-04-01,100256.18,0.68,7e-06,USDJPY=X
2019-04-04,100249.39,-6.79,-6.8e-05,AUDUSD=X
2019-04-09,100245.05,-4.34,-4.3e-05,GBPUSD=X
2019-04-11,100240.57,-4.48,-4.5e-05,EURUSD=X
2019-04-11,100237.74,-2.83,-2.8e-05,USDJPY=X
2019-05-02,100237.71,-0.03,-0.0,EURUSD=X
2019-05-02,100237.7,-0.01,-0.0,GBPUSD=X
2019-05-06,100232.12,-5.58,-5.6e-05,USDJPY=X
2019-05-09,100233.16,1.04,1e-05,EURUSD=X
2019-05-09,100231.4,-1.76,-1.8e-05,GBPUSD=X
2019-05-09,100230.99,-0.41,-4e-06,AUDUSD=X
2019-06-10,100226.13,-4.86,-4.8e-05,EURUSD=X
2019-06-10,100222.33,-3.81,-3.8e-05,GBPUSD=X
2019-06-10,100225.15,2.82,2.8e-05,USDJPY=X
2019-06-21,100230.08,4.94,4.9e-05,AUDUSD=X
2019-07-02,100229.93,-0.15,-2e-06,GBPUSD=X
2019-07-09,100224.26,-5.67,-5.7e-05,EURUSD=X
2019-07-09,100230.63,6.37,6.4e-05,USDJPY=X
2019-07-09,100232.75,2.12,2.1e-05,AUDUSD=X
2019-07-12,100227.3,-5.45,-5.4e-05,GBPUSD=X
2019-08-07,100230.12,2.82,2.8e-05,AUDUSD=X
2019-08-15,100231.6,1.48,1.5e-05,EURUSD=X
2019-08-23,100237.05,5.45,5.4e-05,GBPUSD=X
2019-08-23,100235.74,-1.32,-1.3e-05,AUDUSD=X
2019-09-04,100229.75,-5.99,-6e-05,AUDUSD=X
2019-10-23,100241.5,11.76,0.000117,AUDUSD=X
2019-10-24,100250.08,8.58,8.6e-05,EURUSD=X
2019-10-24,100287.17,37.08,0.00037,GBPUSD=X
2019-11-04,100287.16,-0.0,-0.0,USDJPY=X
2019-11-05,100286.55,-0.61,-6e-06,AUDUSD=X
2019-11-08,100278.82,-7.73,-7.7e-05,EURUSD=X
2019-11-12,100273.97,-4.84,-4.8e-05,AUDUSD=X
2019-11-25,100270.88,-3.1,-3.1e-05,GBPUSD=X
2019-11-25,100269.48,-1.39,-1.4e-05,USDJPY=X
2019-12-09,100267.73,-1.75,-1.7e-05,EURUSD=X
2019-12-09,100279.72,11.99,0.00012,GBPUSD=X
2019-12-09,100277.47,-2.25,-2.2e-05,AUDUSD=X
2019-12-31,100276.7,-0.77,-8e-06,USDJPY=X
2020-01-02,100276.62,-0.08,-1e-06,USDJPY=X
2020-01-09,100280.52,3.9,3.9e-05,EURUSD=X
2020-01-09,100276.67,-3.85,-3.8e-05,USDJPY=X
2020-01-09,100288.23,11.56,0.000115,AUDUSD=X
2020-01-14,100297.54,9.31,9.3e-05,GBPUSD=X
2020-02-06,100290.31,-7.23,-7.2e-05,AUDUSD=X
2020-02-10,100298.06,7.75,7.7e-05,EURUSD=X
2020-02-10,100291.13,-6.93,-6.9e-05,GBPUSD=X
2020-03-11,100280.55,-10.57,-0.000105,AUDUSD=X
2020-03-12,100279.85,-0.7,-7e-06,GBPUSD=X
2020-03-13,100279.59,-0.26,-3e-06,EURUSD=X
2020-03-16,100281.61,2.02,2e-05,USDJPY=X
2020-03-27,100305.26,23.65,0.000236,GBPUSD=X
2020-04-02,100304.95,-0.31,-3e-06,USDJPY=X
2020-04-22,100305.08,0.13,1e-06,EURUSD=X
2020-04-22,100298.5,-6.58,-6.6e-05,GBPUSD=X
2020-04-22,100325.68,27.18,0.000271,AUDUSD=X
2020-04-30,100335.02,9.34,9.3e-05,USDJPY=X
2020-05-11,100330.16,-4.86,-4.8e-05,EURUSD=X
2020-05-11,100327.88,-2.28,-2.3e-05,GBPUSD=X
2020-05-11,100329.31,1.43,1.4e-05,USDJPY=X
2020-05-11,100341.62,12.3,0.000123,AUDUSD=X
2021-04-02,100341.47,-0.15,-2e-06,GBPUSD=X
2021-04-09,100350.65,9.19,9.2e-05,EURUSD=X
2021-04-09,100355.9,5.25,5.2e-05,GBPUSD=X
2021-04-09,100351.6,-4.3,-4.3e-05,AUDUSD=X
2021-05-10,100341.87,-9.73,-9.7e-05,AUDUSD=X
2021-06-02,100341.69,-0.18,-2e-06,EURUSD=X
2021-06-02,100341.57,-0.13,-1e-06,GBPUSD=X
2021-06-02,100341.26,-0.31,-3e-06,AUDUSD=X
2021-06-07,100341.17,-0.09,-1e-06,AUDUSD=X
2021-06-09,100343.38,2.2,2.2e-05,EURUSD=X
2021-06-09,100344.37,0.99,1e-05,GBPUSD=X
2021-07-02,100344.15,-0.21,-2e-06,EURUSD=X
2021-07-09,100344.48,0.32,3e-06,EURUSD=X
2021-07-09,100346.44,1.96,2e-05,GBPUSD=X
2021-07-09,100354.46,8.02,8e-05,AUDUSD=X
2021-08-09,100356.62,2.16,2.2e-05,AUDUSD=X
2021-09-09,100359.93,3.31,3.3e-05,EURUSD=X
2021-09-09,100363.73,3.8,3.8e-05,GBPUSD=X
2021-09-09,100366.84,3.11,3.1e-05,AUDUSD=X
2021-11-02,100366.24,-0.61,-6e-06,AUDUSD=X
2021-11-09,100365.36,-0.88,-9e-06,EURUSD=X
2021-11-09,100368.2,2.84,2.8e-05,GBPUSD=X
2021-11-09,100370.19,2.0,2e-05,AUDUSD=X
2022-01-07,100366.25,-3.95,-3.9e-05,AUDUSD=X
2022-01-10,100362.6,-3.65,-3.6e-05,EURUSD=X
2022-01-10,100355.81,-6.79,-6.8e-05,GBPUSD=X
2022-03-02,100355.77,-0.04,-0.0,GBPUSD=X
2022-03-02,100355.58,-0.19,-2e-06,AUDUSD=X
2022-03-07,100344.74,-10.83,-0.000108,AUDUSD=X
2022-03-09,100359.15,14.41,0.000144,EURUSD=X
2022-03-09,100376.63,17.48,0.000174,GBPUSD=X
2022-03-09,100374.92,-1.71,-1.7e-05,USDJPY=X
2022-03-14,100365.92,-9.0,-9e-05,USDJPY=X
2022-04-04,100365.65,-0.27,-3e-06,AUDUSD=X
2022-04-11,100375.0,9.35,9.3e-05,AUDUSD=X
2022-05-03,100374.91,-0.1,-1e-06,USDJPY=X
2022-05-06,100382.03,7.12,7.1e-05,AUDUSD=X
2022-05-09,100392.85,10.82,0.000108,GBPUSD=X
2022-05-13,100383.78,-9.07,-9e-05,USDJPY=X
2022-05-18,100380.81,-2.97,-3e-05,EURUSD=X
2022-05-30,100399.48,18.67,0.000186,GBPUSD=X
2022-06-03,100399.37,-0.11,-1e-06,USDJPY=X
2022-06-16,100424.89,25.52,0.000254,AUDUSD=X
2022-06-17,100438.72,13.83,0.000138,GBPUSD=X
2022-06-17,100448.56,9.85,9.8e-05,USDJPY=X
2022-06-23,100461.85,13.28,0.000132,EURUSD=X
2022-07-04,100461.73,-0.12,-1e-06,EURUSD=X
2022-07-05,100461.52,-0.21,-2e-06,EURUSD=X
2022-07-05,100453.54,-7.98,-7.9e-05,GBPUSD=X
2022-07-05,100453.42,-0.12,-1e-06,USDJPY=X
2022-07-05,100453.13,-0.28,-3e-06,AUDUSD=X
2022-07-20,100455.3,2.17,2.2e-05,EURUSD=X
2022-07-20,100443.04,-12.26,-0.000122,AUDUSD=X
2022-07-22,100451.95,8.9,8.9e-05,USDJPY=X
2022-07-28,100437.27,-14.68,-0.000146,GBPUSD=X
2022-08-02,100442.05,4.78,4.8e-05,EURUSD=X
2022-08-05,100448.52,6.47,6.4e-05,GBPUSD=X
2022-08-09,100437.5,-11.02,-0.00011,AUDUSD=X
2022-08-11,100426.84,-10.66,-0.000106,EURUSD=X
2022-08-22,100409.82,-17.02,-0.000169,GBPUSD=X
2022-08-30,100439.92,30.1,0.0003,USDJPY=X
2022-09-05,100443.09,3.16,3.1e-05,EURUSD=X
2022-09-05,100447.97,4.89,4.9e-05,GBPUSD=X
2022-09-05,100447.69,-0.29,-3e-06,AUDUSD=X
2022-09-07,100433.12,-14.57,-0.000145,USDJPY=X
2022-09-14,100424.8,-8.31,-8.3e-05,AUDUSD=X
2022-09-21,100424.86,0.05,1e-06,EURUSD=X
2022-09-21,100411.0,-13.86,-0.000138,GBPUSD=X
2022-09-28,100405.25,-5.74,-5.7e-05,USDJPY=X
2022-10-03,100430.13,24.88,0.000248,GBPUSD=X
2022-10-04,100430.35,0.22,2e-06,GBPUSD=X
2022-10-04,100430.05,-0.3,-3e-06,AUDUSD=X
2022-10-05,100429.75,-0.3,-3e-06,AUDUSD=X
2022-10-10,100437.16,7.4,7.4e-05,EURUSD=X
2022-10-10,100431.57,-5.59,-5.6e-05,USDJPY=X
2022-10-14,100420.84,-10.72,-0.000107,GBPUSD=X
2022-10-26,100434.82,13.98,0.000139,AUDUSD=X
2022-11-03,100439.56,4.74,4.7e-05,EURUSD=X
2022-11-04,100461.81,22.24,0.000221,GBPUSD=X
2022-11-07,100449.53,-12.27,-0.000122,AUDUSD=X
2022-11-09,100436.64,-12.9,-0.000128,USDJPY=X
2022-12-01,100486.75,50.12,0.000499,EURUSD=X
2022-12-02,100550.48,63.73,0.000634,GBPUSD=X
2022-12-05,100550.0,-0.48,-5e-06,AUDUSD=X
2022-12-16,100549.02,-0.98,-1e-05,AUDUSD=X
2022-12-22,100540.39,-8.63,-8.6e-05,GBPUSD=X
2022-12-23,100546.53,6.14,6.1e-05,EURUSD=X
2022-12-23,100568.27,21.74,0.000216,USDJPY=X
2023-01-02,100572.6,4.33,4.3e-05,EURUSD=X
2023-01-04,100581.75,9.15,9.1e-05,EURUSD=X
2023-01-04,100587.85,6.11,6.1e-05,GBPUSD=X
2023-01-04,100590.53,2.68,2.7e-05,USDJPY=X
2023-01-04,100598.87,8.34,8.3e-05,AUDUSD=X
2023-01-25,100617.4,18.53,0.000184,EURUSD=X
2023-01-25,100634.84,17.44,0.000173,GBPUSD=X
2023-01-25,100644.01,9.18,9.1e-05,USDJPY=X
2023-01-25,100666.84,22.83,0.000227,AUDUSD=X
2023-02-09,100682.07,15.23,0.000151,AUDUSD=X
2023-03-09,100697.64,15.57,0.000155,AUDUSD=X
2023-03-31,100705.05,7.4,7.4e-05,USDJPY=X
2023-04-10,100717.61,12.56,0.000125,AUDUSD=X
2023-05-02,100717.49,-0.11,-1e-06,EURUSD=X
2023-05-05,100708.89,-8.6,-8.5e-05,AUDUSD=X
2023-05-09,100707.28,-1.6,-1.6e-05,EURUSD=X
2023-05-09,100715.39,8.11,8.1e-05,GBPUSD=X
2023-05-26,100705.99,-9.4,-9.3e-05,GBPUSD=X
2023-06-01,100721.24,15.25,0.000151,EURUSD=X
2023-06-07,100709.36,-11.88,-0.000118,AUDUSD=X
2023-06-09,100714.73,5.38,5.3e-05,EURUSD=X
2023-06-09,100722.69,7.96,7.9e-05,GBPUSD=X
2023-06-09,100715.97,-6.72,-6.7e-05,USDJPY=X
2023-07-04,100715.99,0.02,0.0,USDJPY=X
