t,equity,pnl,ret,pair
2025-01-09,100001.03,1.03,1e-05,GBPUSD=X
2025-01-09,100001.86,0.83,8e-06,AUDUSD=X
2025-02-06,99992.15,-9.71,-9.7e-05,USDJPY=X
2025-02-10,99994.54,2.39,2.4e-05,GBPUSD=X
2025-02-14,99988.72,-5.82,-5.8e-05,EURUSD=X
2025-02-21,99976.11,-12.61,-0.000126,GBPUSD=X
2025-03-10,99969.7,-6.42,-6.4e-05,USDJPY=X
2025-03-18,99960.77,-8.92,-8.9e-05,USDJPY=X
2025-04-03,99956.81,-3.97,-4e-05,EURUSD=X
2025-04-07,99947.5,-9.31,-9.3e-05,USDJPY=X
2025-04-09,99961.22,13.72,0.000137,GBPUSD=X
2025-04-09,99995.13,33.91,0.000339,AUDUSD=X
2025-05-09,99988.21,-6.92,-6.9e-05,EURUSD=X
2025-05-09,99989.98,1.78,1.8e-05,GBPUSD=X
2025-05-09,99995.37,5.38,5.4e-05,USDJPY=X
2025-05-14,99992.07,-3.3,-3.3e-05,AUDUSD=X
2025-05-21,99980.07,-12.0,-0.00012,GBPUSD=X
2025-06-09,99976.83,-3.24,-3.2e-05,EURUSD=X
2025-06-09,99977.71,0.88,9e-06,GBPUSD=X
2025-06-09,99986.52,8.81,8.8e-05,USDJPY=X
2025-06-09,99986.12,-0.4,-4e-06,AUDUSD=X
2025-07-11,99984.72,-1.4,-1.4e-05,AUDUSD=X
2025-07-14,99992.31,7.59,7.6e-05,EURUSD=X
2025-07-14,100000.41,8.1,8.1e-05,GBPUSD=X
2025-08-04,100000.36,-0.04,-0.0,USDJPY=X
2025-08-08,100008.35,7.99,8e-05,GBPUSD=X
2025-08-11,100012.46,4.11,4.1e-05,EURUSD=X
2025-08-11,100009.04,-3.42,-3.4e-05,USDJPY=X
2025-08-11,100013.34,4.31,4.3e-05,AUDUSD=X
2025-08-29,100009.63,-3.71,-3.7e-05,GBPUSD=X
2025-09-02,100009.59,-0.04,-0.0,USDJPY=X
2025-09-09,100018.28,8.69,8.7e-05,EURUSD=X
2025-09-09,100027.17,8.89,8.9e-05,GBPUSD=X
2025-09-09,100031.57,4.4,4.4e-05,USDJPY=X
2025-09-09,100039.69,8.12,8.1e-05,AUDUSD=X
2025-10-02,100039.65,-0.04,-0.0,USDJPY=X
2025-10-06,100030.2,-9.45,-9.4e-05,USDJPY=X
2025-10-09,100023.9,-6.3,-6.3e-05,EURUSD=X
2025-10-09,100021.41,-2.49,-2.5e-05,GBPUSD=X
2025-10-09,100019.63,-1.78,-1.8e-05,AUDUSD=X
2025-11-05,100013.97,-5.66,-5.7e-05,AUDUSD=X
2025-11-10,100015.47,1.5,1.5e-05,EURUSD=X
2025-11-10,100015.93,0.45,5e-06,GBPUSD=X
2025-12-09,100016.6,0.67,7e-06,EURUSD=X
2025-12-09,100022.18,5.57,5.6e-05,GBPUSD=X
2025-12-09,100027.56,5.38,5.4e-05,AUDUSD=X
2026-01-09,100024.19,-3.37,-3.4e-05,EURUSD=X
2026-01-12,100023.29,-0.9,-9e-06,GBPUSD=X
2026-01-12,100018.97,-4.33,-4.3e-05,USDJPY=X
2026-02-09,100020.56,1.59,1.6e-05,EURUSD=X
2026-04-02,100020.48,-0.08,-1e-06,USDJPY=X
2026-04-08,100010.77,-9.71,-9.7e-05,EURUSD=X
2026-04-09,100019.28,8.5,8.5e-05,GBPUSD=X
2026-04-09,100022.07,2.79,2.8e-05,USDJPY=X
2026-05-18,100042.47,20.4,0.000204,AUDUSD=X
2026-06-08,100030.47,-11.99,-0.00012,AUDUSD=X
