pair,entry_date,exit_date,direction,entry,exit,pnl_pct,risk_pct,risk_adjusted_pnl_pct,hold_days,exit_reason,units
EURUSD=X,2015-04-03 00:00:00,2015-04-09 00:00:00,1,1.0870983600616455,1.078527569770813,-0.008334649596882942,0.0075,-6.250987197662206e-05,5,trailing_stop,1
EURUSD=X,2016-01-05 00:00:00,2016-01-05 00:00:00,-1,1.082602620124817,1.0827549695968628,-0.0003342323175297065,0.0075,-2.5067423814727985e-06,1,reversal,1
EURUSD=X,2016-01-06 00:00:00,2016-01-15 00:00:00,1,1.0751993656158447,1.085894227027893,0.009292358415700749,0.0075,6.969268811775562e-05,8,time,1
EURUSD=X,2016-02-03 00:00:00,2016-02-09 00:00:00,1,1.0922038555145264,1.1189812421798706,0.023998107097918865,0.0075,0.00017998580323439148,5,time,1
EURUSD=X,2016-03-03 00:00:00,2016-03-09 00:00:00,1,1.0870037078857422,1.1004005670547485,0.011808802575607838,0.0075,8.856601931705878e-05,5,time,1
EURUSD=X,2016-04-05 00:00:00,2016-04-14 00:00:00,-1,1.1387057304382324,1.1279042959213257,0.009258019119682688,0.0075,6.943514339762016e-05,8,time,1
EURUSD=X,2016-05-03 00:00:00,2016-05-09 00:00:00,1,1.1526048183441162,1.1387965679168701,-0.012506435507415994,0.0075,-9.379826630561996e-05,5,trailing_stop,1
EURUSD=X,2016-06-03 00:00:00,2016-06-09 00:00:00,1,1.1153992414474487,1.140706181526184,0.022154580728940512,0.0075,0.00016615935546705383,5,time,1
EURUSD=X,2016-07-05 00:00:00,2016-07-11 00:00:00,1,1.1145538091659546,1.1043988466262817,-0.009647392109783444,0.0075,-7.235544082337583e-05,5,time,1
EURUSD=X,2016-08-03 00:00:00,2016-08-08 00:00:00,1,1.1218559741973877,1.1089547872543335,-0.01188306777779729,0.0075,-8.912300833347968e-05,4,trailing_stop,1
EURUSD=X,2016-09-05 00:00:00,2016-09-07 00:00:00,-1,1.116071343421936,1.1253657341003418,-0.008520125381813825,0.0075,-6.390094036360368e-05,3,trailing_stop,1
EURUSD=X,2016-10-04 00:00:00,2016-10-10 00:00:00,-1,1.1213276386260986,1.1196954250335693,0.0012465631654758303,0.0075,9.349223741068727e-06,5,time,1
EURUSD=X,2016-12-05 00:00:00,2016-12-06 00:00:00,-1,1.0570825338363647,1.0757315158843994,-0.017832231534690348,0.0075,-0.0001337417365101776,2,stop,1
EURUSD=X,2017-01-03 00:00:00,2017-01-03 00:00:00,-1,1.0459157228469849,1.0460032224655151,-0.00027542632426620693,0.0075,-2.0656974319965517e-06,1,reversal,1
EURUSD=X,2017-01-04 00:00:00,2017-01-13 00:00:00,1,1.0418403148651123,1.0616837739944458,0.018303892731747377,0.0075,0.00013727919548810533,8,time,1
EURUSD=X,2017-02-03 00:00:00,2017-02-09 00:00:00,-1,1.0763335227966309,1.0692213773727417,0.006441114477826226,0.0075,4.830835858369669e-05,5,time,1
EURUSD=X,2017-03-03 00:00:00,2017-03-06 00:00:00,-1,1.0508506298065186,1.062044620513916,-0.010830033106146003,0.0075,-8.122524829609501e-05,2,trailing_stop,1
EURUSD=X,2017-04-04 00:00:00,2017-04-10 00:00:00,-1,1.0670194625854492,1.0582010746002197,0.00812117686609583,0.0075,6.090882649571872e-05,5,time,1
EURUSD=X,2017-05-03 00:00:00,2017-05-09 00:00:00,-1,1.0935654640197754,1.0927767753601074,0.0006054437440470595,0.0075,4.540828080352946e-06,5,time,1
EURUSD=X,2017-06-05 00:00:00,2017-06-09 00:00:00,-1,1.127548336982727,1.1184805631637573,0.007956705495615604,0.0075,5.9675291217117024e-05,5,time,1
