date,ticker,prev_close_polygon,day_high,stage1_gain,day_volume
2025-07-02,VOR,28.6,36,0.2587,1266206
2025-07-02,GRYP,4.506,6.8,0.5091,17816218
2025-07-02,MOGO,1.21,3.83,2.1653,267085045
2025-07-02,RMCO,1.3,1.74,0.3385,746786
2025-07-02,BON,1.23,1.53,0.2439,18806073
2025-07-02,IPDN,2.7,3.3,0.2222,620270
2025-07-02,GBX,47,57.4,0.2213,2442891
2025-07-02,EDIT,2.25,2.875,0.2778,9568174
2025-07-02,NTRB,8.02,11.6779,0.4561,1780553
2025-07-02,EYEN,10.56,17.18,0.6269,4643575
2025-07-02,SONN,1.21,4.4,2.6364,129873699
2025-07-02,TGEN,7.08,9.38,0.3249,1330930
2025-07-02,ELWS,1.9,3.31,0.7421,59289234
2025-07-02,ATXG,10.458,16.05,0.5347,2390625
2025-07-02,GREE,1.27,1.55,0.2205,809521
2025-07-02,RYET,7.61,9.545,0.2543,716154
2025-07-02,DQ,15.3,18.42,0.2039,4331348
2025-07-02,CIGL,12.35,20,0.6194,748560
2025-07-02,BMNR,46,63.58,0.3822,24770405
2025-07-02,PRME,2.73,3.34,0.2234,6702043
2025-07-02,BITF,0.8442,1.02,0.2082,52660258
2025-07-02,SY,2.835,3.6,0.2698,3817773
2025-07-02,RGTX,28.93,37.7785,0.3059,1160873
2025-07-02,WBUY,6.68,8.14,0.2186,1044848
2025-07-02,JUNS,1.01,1.35,0.3366,1118295
2025-07-02,DAIC,115.25,357.5,2.102,1787427
2025-07-02,MLGO,15.771,22.569,0.431,5245054
2025-07-02,SCNX,1.29,1.58,0.2248,513083
2025-07-02,CYN,12.8,17.2,0.3437,24559214
2025-07-02,ANNX,2.47,2.98,0.2065,3089363
2025-07-02,BKKT,14.07,19.08,0.3561,2181740
2025-07-02,SBET,9.35,12.44,0.3305,28015125
2025-07-02,LIXT,1.18,2.42,1.0508,38082202
2025-07-02,GWH,1.32,1.73,0.3106,558180
2025-07-02,IINN,0.8138,1.14,0.4008,13800283
2025-07-02,ICU,4.852,6.122,0.2617,1927415
2025-07-02,GVH,13.4,19.38,0.4463,2059710
2025-07-02,METC,9.98,12.46,0.2485,3670950
2025-07-02,ABVC,2.42,3.1,0.281,1171515
2025-07-02,IONX,91.005,112.2,0.2329,555978
2025-07-02,SCAG,4.13,6.6085,0.6001,2384769
2025-07-02,MNY,0.874,1.05,0.2014,580767
2025-07-02,NAMM,6.88,11.6299,0.6904,8137564
2025-07-02,OXBR,1.78,2.38,0.3371,1407368
2025-07-02,MENS,8.48,10.2,0.2028,928156
2025-07-03,THTX,2.36,3.2,0.3559,10560877
2025-07-03,BMNR,58.5,161,1.7521,37579767
2025-07-03,DGXX,2.68,3.23,0.2052,3313566
