date,ticker,prev_close,price_1030,gain_1030,cum_vol_1030,vwap_1030,read,C1,C2,C3,C4,E1,E2,E3,E4,entry_open_1030,close_eod,outcome_pct,n_slice_bars,active_proxy,boundary_leak_zone
2025-07-02,DAIC,115.25,310.75,1.6963,820377,297.3292,CONT,1,1,1,1,0,0,0,0,310.63,203.25,-0.3457,12,1,0
2025-07-02,ELWS,1.9,2.84,0.4947,5585802,2.7756,UNC,1,1,0,1,0,1,1,0,2.835,3.16,0.1146,12,0,0
2025-07-02,MOGO,1.21,2.51,1.0744,69976915,3.0778,EX,0,0,0,0,1,1,1,0,2.5101,2.56,0.0199,12,0,0
2025-07-02,NAMM,6.88,9.61,0.3968,1724222,10.1103,EX,0,1,0,0,1,1,1,1,9.5713,10.86,0.1346,12,1,0
2025-07-03,BMNR,58.5,82.525,0.4107,10815054,75.1013,CONT,1,1,1,1,0,0,0,0,82.25,115.62,0.4057,12,1,0
2025-07-03,GITS,1.63,4.0233,1.4683,17929350,4.3686,UNC,0,1,1,0,1,1,1,0,4.0101,3.8,-0.0524,12,1,0
2025-07-03,LIXT,2.02,2.6594,0.3165,47144450,3.4221,EX,0,0,0,0,1,1,1,0,2.6595,2.59,-0.0261,12,1,0
2025-07-03,OST,3.25,4.375,0.3462,8224899,4.6868,UNC,0,1,1,0,1,1,1,0,4.365,4.25,-0.0263,12,0,0
2025-07-03,RGC,10.36,21.31,1.0569,5095529,17.1586,CONT,1,1,1,1,0,0,0,0,21.262,19.42,-0.0866,12,1,0
2025-07-03,THTX,2.36,3.14,0.3305,3981698,3.1439,EX,0,0,0,0,1,1,1,0,3.145,3.13,-0.0048,12,0,0
2025-07-07,ARTL,30.15,46.86,0.5542,613244,59.4423,EX,0,0,0,0,1,1,1,0,46.94,42.93,-0.0854,12,1,0
2025-07-07,BTOG,10.32,14.39,0.3944,1249042,13.6531,CONT,1,1,1,1,0,0,0,0,14.36,15.24,0.0613,12,1,0
2025-07-07,ENGS,1.77,2.3062,0.3029,2542603,2.3233,EX,0,1,0,0,1,1,1,0,2.32,2.45,0.056,12,1,0
2025-07-07,MBIO,1.19,6.0299,4.0671,109875020,5.0247,UNC,1,1,1,1,0,1,1,0,6.0299,3.3399,-0.4461,12,1,0
2025-07-07,VIOT,1.66,2.33,0.4036,2150378,2.1738,CONT,1,1,1,1,0,0,1,0,2.3399,2.635,0.1261,12,1,0
2025-07-07,VOR,38.2,49.7,0.301,686538,47.3206,CONT,1,1,1,1,0,0,1,0,49.8,54,0.0843,12,1,0
2025-07-07,WOLF,1.18,2.1392,0.8129,113436796,1.808,CONT,1,1,1,1,0,0,0,0,2.13,2.3326,0.0951,12,1,0
2025-07-08,BSLK,2.5,3.5184,0.4074,19622996,3.9301,EX,0,1,0,0,1,0,1,1,3.52,3.3599,-0.0455,12,0,0
2025-07-08,IROH,5.97,8.6,0.4405,1343920,9.8146,EX,0,0,0,0,1,1,1,1,8.549,10.05,0.1756,11,0,0
2025-07-08,MBRX,9.72,13.08,0.3457,2228970,14.1727,UNC,0,1,1,0,1,1,0,1,13.12,13.25,0.0099,12,1,0
2025-07-08,MPU,1.51,2.0593,0.3638,1392412,1.9652,UNC,1,1,1,1,0,1,1,1,2.0599,2.43,0.1797,12,1,0
2025-07-08,NDRA,3.4566,8.9999,1.6037,19648556,10.0351,EX,0,0,1,0,1,1,1,0,8.97,8.3,-0.0747,11,1,0
2025-07-08,RLYB,2.723,3.71,0.3625,9119760,4.2025,UNC,0,1,1,0,1,1,1,0,3.714,4.112,0.1072,12,1,0
2025-07-08,SRFM,4.55,5.925,0.3022,10135284,5.6693,CONT,1,1,1,1,0,0,0,0,5.93,6.09,0.027,12,1,0
2025-07-08,WKHS,21,32.64,0.5543,1146094,30.6304,CONT,1,1,0,1,0,0,0,0,32.53,32.16,-0.0114,12,1,0
2025-07-08,ZEPP,3.48,5.3152,0.5274,1328156,4.9211,CONT,1,1,1,1,0,0,0,0,5.32,5.18,-0.0263,12,1,0
2025-07-09,AQMS,4.8,6.635,0.3823,1294225,6.3712,CONT,1,1,0,1,0,0,0,1,6.656,5.824,-0.125,12,1,0
2025-07-09,BMGL,21.84,38.22,0.75,707160,34.9789,UNC,1,1,1,1,0,1,1,0,38.28,43.32,0.1317,12,1,0
2025-07-09,CLDI,4.02,15.54,2.8657,11329166,11.9249,CONT,1,1,1,1,0,0,0,0,15.48,7.92,-0.4884,12,1,0
2025-07-09,EVOK,2.66,6.2098,1.3345,33899827,8.0509,EX,0,0,0,0,1,1,1,0,6.2099,6.96,0.1208,12,0,0
2025-07-09,GAME,1.54,2.1793,0.4151,40529926,2.3737,UNC,0,1,1,0,1,1,1,0,2.1701,2.16,-0.0047,12,1,0
2025-07-09,KZIA,6.825,9.385,0.3751,2412022,9.83,UNC,0,1,1,0,1,0,1,0,9.546,9.59,0.0046,12,1,0
2025-07-09,PROK,3.73,5.635,0.5107,70112978,6.2312,EX,0,1,0,0,1,1,1,0,5.64,4.35,-0.2287,12,1,0
2025-07-09,SCAG,4.2,6.4,0.5238,963204,6.9609,EX,0,0,0,0,1,1,1,0,6.4,6.75,0.0547,12,1,0
2025-07-09,SUGP,4.495,12.4,1.7586,7231065,14.7471,UNC,0,1,1,0,1,1,1,1,12.3,12.16,-0.0114,12,1,0
2025-07-10,BTCM,2.46,5.2152,1.12,36422535,6.4679,EX,0,0,0,0,1,1,1,0,5.2193,6.3071,0.2084,12,0,0
2025-07-10,DALN,4.39,13.55,2.0866,567797,13.5284,CONT,1,1,1,1,0,0,1,0,13.555,13.57,0.0011,12,0,0
2025-07-10,KLG,17.5,22.8652,0.3066,13664460,22.8392,UNC,1,1,0,1,0,1,1,0,22.87,22.88,0.0004,12,0,1
2025-07-10,MP,30.03,45.4801,0.5145,29916896,45.7658,UNC,0,1,1,0,1,1,1,0,45.49,45.29,-0.0044,12,1,0
2025-07-10,SAFX,1.5,2.5889,0.7259,28464330,2.8317,EX,0,1,0,0,1,1,1,0,2.59,1.955,-0.2452,12,1,0
2025-07-10,STKH,14,26,0.8571,1471579,23.3053,CONT,1,1,1,1,0,0,0,0,25.96,24,-0.0755,12,1,0
2025-07-11,ABVE,1.55,3.8203,1.4647,56689963,3.5234,CONT,1,1,0,1,0,0,0,1,3.8247,3.63,-0.0509,12,0,0
2025-07-11,BTOG,17.4,23.2,0.3333,514859,23.796,EX,0,1,0,0,1,1,1,0,23.29,26.32,0.1301,12,1,0
2025-07-11,FTFT,6.04,9.52,0.5762,2953555,10.1739,EX,0,1,0,0,1,1,1,0,9.526,15.4,0.6166,12,1,0
2025-07-11,INKT,7.73,52.4401,5.784,9668728,40.1547,CONT,1,1,1,1,0,0,0,0,52.77,64,0.2128,11,1,0
2025-07-11,SGN,1.23,2.44,0.9837,16738894,2.6379,EX,0,0,0,0,1,1,1,0,2.45,2.4,-0.0204,12,0,0
2025-07-11,UMAC,8.69,11.36,0.3072,9549984,10.6683,CONT,1,1,1,1,0,0,1,0,11.36,12.08,0.0634,12,1,0
2025-07-11,ZEPP,6.09,8.598,0.4118,762417,7.679,CONT,1,1,1,1,0,0,0,0,8.5999,10.31,0.1989,12,1,0
2025-07-14,DARE,2.515,5.9559,1.3682,22630918,7.2696,EX,0,0,0,0,1,1,1,0,5.94,3.11,-0.4764,12,1,0
2025-07-14,MGRM,3.29,5.6516,0.7178,4429242,5.5881,CONT,1,1,1,1,0,0,1,0,5.66,5.85,0.0336,12,0,0
2025-07-14,PMN,9.76,18.5,0.8955,2400351,21.3462,UNC,0,1,1,0,1,0,0,0,18.39,12.79,-0.3045,12,1,0
2025-07-14,SDST,2.52,5.185,1.0575,8213225,5.0299,UNC,1,1,0,1,0,1,1,0,5.171,4.705,-0.0901,12,1,0
2025-07-14,SONN,5.17,14.79,1.8607,12394415,15.2497,EX,0,0,0,0,1,1,1,0,14.815,9.63,-0.35,12,0,0
2025-07-14,SQFT,5.11,15.75,2.0822,7496576,13.6657,UNC,1,1,1,1,0,0,1,1,15.8,13.5299,-0.1437,11,1,0
2025-07-14,YHC,2.6,3.64,0.4,6300934,3.5356,CONT,1,0,1,1,0,0,1,0,3.6424,4.585,0.2588,12,1,0
2025-07-15,BLMZ,1.512,2.216,0.4656,6213861,2.5833,EX,0,0,0,0,1,1,1,0,2.212,2.175,-0.0167,12,0,0
2025-07-15,CYCC,3.31,12.87,2.8882,13906357,8.4861,CONT,1,1,1,1,0,0,0,0,13.5,12.26,-0.0919,11,0,0
2025-07-15,PLRZ,4.093,7.02,0.7151,9486086,6.8308,UNC,1,1,1,1,0,1,1,0,7.079,6.18,-0.127,12,1,0
2025-07-15,XAGE,2.645,6.1906,1.3405,39597654,6.9844,EX,0,0,0,0,1,1,1,0,6.19,5.9469,-0.0393,12,0,0
2025-07-16,APM,0.9698,3.67,2.7843,59458150,2.7413,CONT,1,1,1,1,0,0,0,0,3.674,1.93,-0.4747,11,1,0
2025-07-16,DTST,3.38,4.6011,0.3613,3033105,4.5376,UNC,1,1,0,1,0,1,1,0,4.6015,5.2952,0.1508,12,1,0
2025-07-16,GAME,1.51,2.34,0.5497,21746411,2.2628,UNC,1,1,1,1,0,1,1,0,2.331,2.305,-0.0112,12,1,0
2025-07-16,GTI,4.38,6.144,0.4027,1465051,6.9068,EX,0,0,0,0,1,1,1,0,6.162,6.12,-0.0068,12,0,0
2025-07-16,QLGN,3.53,4.8,0.3598,18962790,5.8176,EX,0,0,0,0,1,1,1,0,4.8,3.89,-0.1896,12,0,0
2025-07-16,RGTX,35.05,46.82,0.3358,975055,44.9864,UNC,1,1,1,1,0,1,1,0,46.68,56.25,0.205,12,1,0
2025-07-16,SRM,6.72,8.84,0.3155,9994771,8.3886,CONT,1,1,1,1,0,0,1,0,8.8654,10.3,0.1618,12,0,0
2025-07-16,YHC,3.95,5.5292,0.3998,4567713,5.394,CONT,1,1,0,1,0,0,1,0,5.5,10.73,0.9509,12,1,0
2025-07-17,ABVE,1.68,3.1704,0.8871,24891827,2.7713,CONT,1,1,1,1,0,0,0,0,3.1711,3.36,0.0596,12,0,0
