date,ticker,prev_close,price_1030,gain_1030,cum_vol_1030,vwap_1030,read,C1,C2,C3,C4,E1,E2,E3,E4,entry_open_1030,close_eod,outcome_pct,n_slice_bars,active_proxy,boundary_leak_zone,catalyst,overnight_gap,intraday_push,rvol_1030,dollar_vol_m,mins_to_high,vwap_dist,dow,spy_am
2025-07-02,DAIC,115.25,310.75,1.6963,820377,297.3292,CONT,1,1,1,1,0,0,0,0,310.63,203.25,-0.3457,12,1,0,EARNINGS,0.8677,0.4437,36.0,254.9,50,0.0451,2,0.0022
2025-07-02,ELWS,1.9,2.84,0.4947,5585802,2.7756,UNC,1,1,0,1,0,1,1,0,2.835,3.16,0.1146,12,0,0,FDA_CLINICAL,0.5026,-0.0053,23.4,15.9,0,0.0232,2,0.0022
2025-07-02,MOGO,1.21,2.51,1.0744,69976915,3.0778,EX,0,0,0,0,1,1,1,0,2.5101,2.56,0.0199,12,0,0,EARNINGS,1.876,-0.2787,508.8,175.6,5,-0.1845,2,0.0022
2025-07-02,NAMM,6.88,9.61,0.3968,1724222,10.1103,EX,0,1,0,0,1,1,1,1,9.5713,10.86,0.1346,12,1,0,EARNINGS,0.359,0.0278,13.6,16.6,25,-0.0495,2,0.0022
2025-07-03,BMNR,58.5,82.525,0.4107,10815054,75.1013,CONT,1,1,1,1,0,0,0,0,82.25,115.62,0.4057,12,1,0,CRYPTO,-0.0209,0.4407,0.5,892.5,40,0.0988,3,0.0041
2025-07-03,GITS,1.63,4.0233,1.4683,17929350,4.3686,UNC,0,1,1,0,1,1,1,0,4.0101,3.8,-0.0524,12,1,0,OTHER_NEWS,1.5276,-0.0235,225.5,72.1,5,-0.079,3,0.0041
2025-07-03,LIXT,2.02,2.6594,0.3165,47144450,3.4221,EX,0,0,0,0,1,1,1,0,2.6595,2.59,-0.0261,12,1,0,OTHER_NEWS,0.495,-0.1194,8.2,125.4,25,-0.2229,3,0.0041
2025-07-03,OST,3.25,4.375,0.3462,8224899,4.6868,UNC,0,1,1,0,1,1,1,0,4.365,4.25,-0.0263,12,0,0,NO_NEWS_PRE1030,0.1292,0.1921,4.0,36.0,15,-0.0665,3,0.0041
2025-07-03,RGC,10.36,21.31,1.0569,5095529,17.1586,CONT,1,1,1,1,0,0,0,0,21.262,19.42,-0.0866,12,1,0,NO_NEWS_PRE1030,0.0618,0.9373,3.4,108.6,55,0.2419,3,0.0041
2025-07-03,THTX,2.36,3.14,0.3305,3981698,3.1439,EX,0,0,0,0,1,1,1,0,3.145,3.13,-0.0048,12,0,0,MERGER_ACQ,0.3347,-0.0032,33.8,12.5,0,-0.0012,3,0.0041
2025-07-07,ARTL,30.15,46.86,0.5542,613244,59.4423,EX,0,0,0,0,1,1,1,0,46.94,42.93,-0.0854,12,1,0,FDA_CLINICAL,1.1453,-0.2755,0.6,28.7,0,-0.2117,0,-0.0005
2025-07-07,BTOG,10.32,14.39,0.3944,1249042,13.6531,CONT,1,1,1,1,0,0,0,0,14.36,15.24,0.0613,12,1,0,FDA_CLINICAL,0.1628,0.1992,8.8,18.0,45,0.054,0,-0.0005
2025-07-07,ENGS,1.77,2.3062,0.3029,2542603,2.3233,EX,0,1,0,0,1,1,1,0,2.32,2.45,0.056,12,1,0,NO_NEWS_PRE1030,0.2825,0.0159,30.8,5.9,20,-0.0074,0,-0.0005
2025-07-07,MBIO,1.19,6.0299,4.0671,109875020,5.0247,UNC,1,1,1,1,0,1,1,0,6.0299,3.3399,-0.4461,12,1,0,FDA_CLINICAL,1.9916,0.6938,29.9,662.5,15,0.2001,0,-0.0005
2025-07-07,VIOT,1.66,2.33,0.4036,2150378,2.1738,CONT,1,1,1,1,0,0,1,0,2.3399,2.635,0.1261,12,1,0,NO_NEWS_PRE1030,0.1145,0.2595,7.6,5.0,45,0.0719,0,-0.0005
2025-07-07,VOR,38.2,49.7,0.301,686538,47.3206,CONT,1,1,1,1,0,0,1,0,49.8,54.0,0.0843,12,1,0,NO_NEWS_PRE1030,0.0471,0.2425,0.2,34.1,30,0.0503,0,-0.0005
2025-07-07,WOLF,1.18,2.1392,0.8129,113436796,1.808,CONT,1,1,1,1,0,0,0,0,2.13,2.3326,0.0951,12,1,0,FDA_CLINICAL,0.2203,0.4856,0.9,242.7,50,0.1832,0,-0.0005
2025-07-08,BSLK,2.5,3.5184,0.4074,19622996,3.9301,EX,0,1,0,0,1,0,1,1,3.52,3.3599,-0.0455,12,0,0,OTHER_NEWS,0.172,0.2008,154.0,69.0,30,-0.1048,1,-0.00216
2025-07-08,IROH,5.97,8.6,0.4405,1343920,9.8146,EX,0,0,0,0,1,1,1,1,8.549,10.05,0.1756,11,0,0,NO_NEWS_PRE1030,0.7554,-0.1794,24.9,11.6,0,-0.1238,1,-0.00216
2025-07-08,MBRX,9.72,13.08,0.3457,2228970,14.1727,UNC,0,1,1,0,1,1,0,1,13.12,13.25,0.0099,12,1,0,OTHER_NEWS,0.1296,0.1913,6.5,29.2,25,-0.0771,1,-0.00216
2025-07-08,MPU,1.51,2.0593,0.3638,1392412,1.9652,UNC,1,1,1,1,0,1,1,1,2.0599,2.43,0.1797,12,1,0,NO_NEWS_PRE1030,0.0066,0.3548,1.0,2.9,25,0.0479,1,-0.00216
2025-07-08,NDRA,3.4566,8.9999,1.6037,19648556,10.0351,EX,0,0,1,0,1,1,1,0,8.97,8.3,-0.0747,11,1,0,FDA_CLINICAL,2.0666,-0.151,35.6,176.8,0,-0.1032,1,-0.00216
