universe,family,config,n,mean_pct,median_pct,events_per_day,gross_pct_day,net_pct_day,tail_p5,tail_p1,ruin_frac,capacity_usd,stamp
equities,F-EQ1_overnight,g30-50|locT3|volT1|long|next_close,386,0.05764,-0.01704,1.538,0.08865,0.08865,-0.24039,-0.37956,0.04663,126478,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ5_catalyst_long,EARNINGS|readCONT,95,0.10944,-0.01779,0.378,0.04142,0.04142,-0.34988,-0.46591,0.08421,786470,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stop0.3|close|mna_excl=False,708,0.02697,0.04398,2.821,0.07608,0.03804,-0.305,-0.3231,0.23446,898762,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stop0.3|close|mna_excl=True,651,0.02917,0.05632,2.594,0.07566,0.03783,-0.305,-0.31898,0.23656,931178,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ1_overnight,g30-50|locT1|volT2|short|next_close,237,0.05254,0.06766,0.944,0.04961,0.03527,-0.20079,-0.46857,0.03376,1016981,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr1.0|stop0.3|close|mna_excl=True,234,0.07236,0.1111,0.932,0.06746,0.03373,-0.305,-0.33639,0.28205,1432129,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stop0.3|1530|mna_excl=False,708,0.02375,0.03966,2.821,0.067,0.0335,-0.305,-0.3231,0.22599,898762,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stop0.3|1530|mna_excl=True,651,0.02575,0.04608,2.594,0.0668,0.0334,-0.305,-0.31898,0.22734,931178,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr1.0|stop0.3|close|mna_excl=False,255,0.06463,0.08515,1.016,0.06566,0.03283,-0.305,-0.3461,0.28235,1427468,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr1.0|stop0.3|1530|mna_excl=True,234,0.06308,0.10325,0.932,0.05881,0.0294,-0.305,-0.33639,0.26923,1432129,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr1.0|stop0.3|1530|mna_excl=False,255,0.05556,0.09426,1.016,0.05644,0.02822,-0.305,-0.3461,0.27059,1427468,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stopNone|1530|mna_excl=False,708,0.0198,0.0546,2.821,0.05584,0.02792,-0.5594,-1.32753,0.0904,898762,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stop0.2|close|mna_excl=False,708,0.01907,0.00638,2.821,0.05379,0.02689,-0.205,-0.205,0.00282,898762,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stopNone|close|mna_excl=False,708,0.01876,0.06236,2.821,0.05291,0.02646,-0.47979,-1.21033,0.09181,898762,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stop0.2|close|mna_excl=True,651,0.02029,0.01816,2.594,0.05263,0.02632,-0.205,-0.20741,0.00307,931178,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr1.0|stop0.2|close|mna_excl=True,234,0.0529,0.05016,0.932,0.04931,0.02466,-0.205,-0.2113,0.00855,1432129,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr1.5|stop0.3|close|mna_excl=False,131,0.09411,0.12653,0.522,0.04912,0.02456,-0.305,-0.36224,0.27481,1950977,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr1.5|stop0.3|close|mna_excl=True,121,0.0995,0.1359,0.482,0.04797,0.02398,-0.305,-0.36438,0.27273,1985031,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stopNone|1530|mna_excl=True,651,0.01836,0.06099,2.594,0.04762,0.02381,-0.60662,-1.33097,0.09217,931178,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr1.0|stop0.2|close|mna_excl=False,255,0.046,0.0231,1.016,0.04673,0.02337,-0.205,-0.21083,0.00784,1427468,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stopNone|close|mna_excl=True,651,0.01675,0.06816,2.594,0.04344,0.02172,-0.49046,-1.3597,0.0937,931178,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ1_overnight,g30-50|locT1|volT2|short|next_open,237,0.03186,0.04775,0.944,0.03008,0.02159,-0.19806,-0.46385,0.03797,1016981,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr1.5|stop0.3|1530|mna_excl=False,131,0.08193,0.1243,0.522,0.04276,0.02138,-0.305,-0.36224,0.26718,1950977,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr1.5|stop0.3|1530|mna_excl=True,121,0.08822,0.14532,0.482,0.04253,0.02126,-0.305,-0.36438,0.26446,1985031,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stop0.2|1530|mna_excl=False,708,0.01493,0.00771,2.821,0.04212,0.02106,-0.205,-0.205,0.00282,898762,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
equities,F-EQ2_fade_short,thr0.5|stop0.1|close|mna_excl=False,708,0.0149,-0.105,2.821,0.04203,0.02102,-0.105,-0.105,0.00141,898762,"MINING — look-back, descriptive, uncorrected; NOT evidence; candidate-generation only"
