date,day_return,equity
2025-07-02,0.001017,1.001017
2025-07-03,-0.00477,0.996242
2025-07-07,0.008484,1.004695
2025-07-08,0.001056,1.005755
2025-07-09,0.00366,1.009437
2025-07-10,-0.005459,1.003926
2025-07-11,-0.004879,0.999028
2025-07-14,0.011637,1.010654
2025-07-15,-0.005538,1.005057
2025-07-21,-0.002156,1.00289
2025-07-22,0.006236,1.009145
2025-07-23,-0.001573,1.007557
2025-07-24,0.00391,1.011497
2025-07-28,-0.012214,0.999142
2025-07-29,0.012227,1.011359
2025-08-04,0.008129,1.01958
2025-08-05,-0.005459,1.014015
2025-08-06,-0.005459,1.008479
2025-08-07,0.003226,1.011733
2025-08-13,-0.005459,1.00621
2025-08-14,0.006281,1.01253
2025-08-15,0.00439,1.016975
2025-08-18,0.005395,1.022462
2025-08-19,0.002127,1.024637
2025-08-21,-0.000705,1.023914
2025-08-22,0.002097,1.026062
2025-08-26,0.01189,1.038262
2025-08-27,0.009389,1.048009
2025-08-29,-0.005538,1.042205
2025-09-02,-0.005538,1.036433
2025-09-03,0.008704,1.045454
2025-09-04,0.011448,1.057423
2025-09-05,-0.005459,1.051651
2025-09-08,-0.004623,1.046789
2025-09-09,0.018848,1.066519
2025-09-10,-0.007586,1.058428
2025-09-15,0.004618,1.063316
2025-09-16,0.008474,1.072327
2025-09-17,0.000383,1.072738
2025-09-19,-0.005538,1.066797
2025-09-22,0.014097,1.081836
2025-09-23,-0.000229,1.081588
2025-09-24,-0.006377,1.074691
2025-09-25,0.004804,1.079854
2025-09-26,0.000203,1.080073
2025-09-29,0.008877,1.089661
2025-10-06,-0.005538,1.083627
2025-10-07,-0.005587,1.077572
2025-10-08,0.002913,1.080712
2025-10-09,0.009091,1.090536
2025-10-10,0.009154,1.100518
2025-10-13,-0.010997,1.088416
2025-10-14,-0.000313,1.088075
2025-10-15,-0.00158,1.086356
2025-10-16,0.00238,1.088941
2025-10-20,-0.005538,1.082911
2025-10-21,-0.005538,1.076914
2025-10-22,0.004601,1.081868
2025-10-24,0.002416,1.084482
2025-10-27,-0.005724,1.078274
2025-10-28,0.008815,1.087779
2025-10-30,0.001713,1.089643
2025-10-31,0.008216,1.098595
2025-11-06,0.007216,1.106522
2025-11-10,0.002921,1.109754
2025-11-18,-0.000752,1.108919
2025-12-01,0.00706,1.116749
2025-12-03,-0.005538,1.110564
2025-12-04,0.001047,1.111727
2025-12-08,-0.002608,1.108827
2025-12-10,-0.002456,1.106104
2025-12-11,0.008209,1.115184
2025-12-15,-0.005467,1.109088
2025-12-17,0.003459,1.112924
2025-12-22,0.0008,1.113814
2025-12-24,0.005303,1.119721
2026-01-06,0.001444,1.121338
2026-01-08,-0.000276,1.121028
2026-01-13,-0.005459,1.114909
2026-01-14,-0.005538,1.108734
2026-01-15,-0.00735,1.100585
2026-01-16,-0.005538,1.09449
2026-01-20,0.001302,1.095914
2026-01-21,0.006578,1.103123
2026-01-22,0.004587,1.108183
2026-01-23,0.00094,1.109224
2026-01-26,-0.003266,1.105601
2026-01-27,0.002373,1.108224
2026-01-28,-0.005459,1.102175
2026-02-02,-0.010917,1.090142
2026-02-03,-0.005459,1.084191
2026-02-09,0.002964,1.087405
2026-02-11,0.00049,1.087938
2026-02-19,0.003774,1.092044
2026-02-23,0.004835,1.097323
2026-03-02,-0.005538,1.091246
2026-03-03,-0.006385,1.084278
2026-03-04,-0.005459,1.078359
2026-03-09,-0.001509,1.076732
2026-03-13,0.001892,1.07877
2026-03-16,-0.000438,1.078297
2026-03-17,0.006175,1.084955
2026-03-18,0.010849,1.096726
2026-03-26,-0.005538,1.090653
2026-03-27,-0.005538,1.084612
2026-03-30,-0.000528,1.084039
2026-03-31,0.002733,1.087002
2026-04-06,0.00377,1.091101
2026-04-07,0.009287,1.101233
2026-04-08,0.014424,1.117118
2026-04-10,0.001988,1.119339
2026-04-14,-0.005538,1.11314
2026-04-15,0.001361,1.114654
2026-04-16,0.011888,1.127906
2026-04-17,0.002153,1.130334
2026-04-20,0.017761,1.150409
2026-04-27,-0.005459,1.144129
2026-04-30,0.001207,1.14551
2026-05-04,0.00315,1.149118
2026-05-05,0.00237,1.151842
2026-05-08,-0.005459,1.145554
2026-05-14,-0.010997,1.132957
2026-05-15,-0.003563,1.12892
2026-05-18,0.014868,1.145704
2026-05-19,-0.001039,1.144514
2026-05-20,-0.005459,1.138266
2026-05-22,-0.005459,1.132053
2026-05-26,0.001698,1.133975
2026-05-27,-0.005538,1.127695
2026-05-28,-0.00163,1.125857
2026-05-29,0.029503,1.159073
2026-06-02,-0.001126,1.157768
2026-06-03,-0.011076,1.144944
2026-06-04,0.008435,1.154601
2026-06-05,-0.005459,1.148299
2026-06-08,-0.010997,1.135671
2026-06-09,0.008207,1.144992
2026-06-10,0.013979,1.160998
2026-06-11,0.011467,1.174311
2026-06-12,0.014887,1.191792
2026-06-15,-0.001087,1.190497
2026-06-16,0.004793,1.196204
2026-06-17,0.008587,1.206476
2026-06-22,0.012961,1.222113
2026-06-24,0.007616,1.231421
2026-06-29,0.004892,1.237445
2026-06-30,0.005555,1.244319
