market,report_date,open_interest,noncomm_long,noncomm_short,net_spec,net_spec_pct_oi,published_date
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-01-07,157739,52063,79312,-27249,-17.274738650555665,2020-01-10
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-01-14,144568,43769,64318,-20549,-14.214072270488629,2020-01-17
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-01-21,139478,42359,61660,-19301,-13.838024634709416,2020-01-24
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-01-28,156721,44662,72182,-27520,-17.55986753530159,2020-01-31
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-02-04,180856,48368,91665,-43297,-23.940040695359844,2020-02-07
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-02-11,177528,48188,80856,-32668,-18.40160425397684,2020-02-14
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-02-18,187455,47989,85466,-37477,-19.99253154090315,2020-02-21
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-02-25,213324,56684,100536,-43852,-20.556524347940222,2020-02-28
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-03-03,223084,64846,116799,-51953,-23.288537053307273,2020-03-06
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-03-10,211243,49757,103770,-54013,-25.569131284823637,2020-03-13
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-03-17,149878,39246,67979,-28733,-19.170925686224795,2020-03-20
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-03-24,135097,31024,56231,-25207,-18.65844541329563,2020-03-27
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-03-31,130982,27315,58979,-31664,-24.174314027881692,2020-04-03
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-04-07,130056,26483,61881,-35398,-27.217506304976318,2020-04-10
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-04-14,128258,22037,57591,-35554,-27.720687988273635,2020-04-17
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-04-21,126180,21452,56272,-34820,-27.595498494214617,2020-04-24
