ticker,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
AMD,1996-03-31,1996-04-09,0.09,0.15,-0.06,-40,pre-market
AMD,1996-06-30,1996-07-10,-0.16,-0.11,-0.05,-45.4545,pre-market
AMD,1996-09-30,1996-10-07,-0.12,-0.18,0.06,33.3333,pre-market
AMD,1996-12-31,1997-01-13,-0.07,-0.1,0.03,30,pre-market
AMD,1997-03-31,1997-04-07,0.05,-0.01,0.06,600,pre-market
AMD,1997-06-30,1997-07-08,0.04,0.1,-0.06,-60,pre-market
AMD,1997-09-30,1997-10-07,-0.11,-0.05,-0.06,-120,pre-market
AMD,1997-12-31,1998-01-13,-0.04,-0.07,0.03,42.8571,pre-market
AMD,1998-03-31,1998-04-07,-0.19,-0.12,-0.07,-58.3333,pre-market
AMD,1998-06-30,1998-07-08,-0.22,-0.11,-0.11,-100,pre-market
AMD,1998-09-30,1998-10-06,0.01,-0.07,0.08,114.2857,pre-market
AMD,1998-12-31,1999-01-13,0.04,0.09,-0.05,-55.5556,pre-market
AMD,1999-03-31,1999-04-14,-0.4,-0.38,-0.02,-5.2632,pre-market
AMD,1999-06-30,1999-07-14,-0.55,-0.64,0.09,14.0625,pre-market
AMD,1999-09-30,1999-10-06,-0.36,-0.46,0.1,21.7391,pre-market
AMD,1999-12-31,2000-01-20,0.11,-0.01,0.12,1200,pre-market
AMD,2000-03-31,2000-04-12,0.57,0.26,0.31,119.2308,pre-market
AMD,2000-06-30,2000-07-19,0.61,0.56,0.05,8.9286,pre-market
AMD,2000-09-30,2000-10-11,0.64,0.62,0.02,3.2258,post-market
AMD,2000-12-31,2001-01-17,0.53,0.55,-0.02,-3.6364,post-market
AMD,2001-03-31,2001-04-18,0.37,0.33,0.04,12.1212,post-market
AMD,2001-06-30,2001-07-12,0.05,0.04,0.01,25,post-market
AMD,2001-09-30,2001-10-17,-0.28,-0.28,0,0,post-market
AMD,2001-12-31,2002-01-16,-0.05,-0.18,0.13,72.2222,post-market
AMD,2002-03-31,2002-04-17,-0.03,-0.06,0.03,50,post-market
AMD,2002-06-30,2002-07-17,-0.54,-0.44,-0.1,-22.7273,post-market
AMD,2002-09-30,2002-10-16,-0.74,-0.67,-0.07,-10.4478,post-market
AMD,2002-12-31,2003-01-16,-0.68,-0.43,-0.25,-58.1395,post-market
AMD,2003-03-31,2003-04-16,-0.42,-0.49,0.07,14.2857,post-market
AMD,2003-06-30,2003-07-16,-0.4,-0.55,0.15,27.2727,post-market
AMD,2003-09-30,2003-10-16,-0.11,-0.36,0.25,69.4444,post-market
AMD,2003-12-31,2004-01-20,0.09,0.04,0.05,125,post-market
AMD,2004-03-31,2004-04-14,0.12,0.03,0.09,300,post-market
AMD,2004-06-30,2004-07-14,0.09,0.09,0,0,post-market
AMD,2004-09-30,2004-10-07,0.12,0.12,0,0,post-market
AMD,2004-12-31,2005-01-18,0.05,0.07,-0.02,-28.5714,post-market
AMD,2005-03-31,2005-04-13,-0.04,0.02,-0.06,-300,post-market
AMD,2005-06-30,2005-07-13,0.03,-0.05,0.08,160,post-market
AMD,2005-09-30,2005-10-11,0.18,0.08,0.1,125,post-market
AMD,2005-12-31,2006-01-18,0.45,0.26,0.19,73.0769,post-market
AMD,2006-03-31,2006-04-12,0.42,0.3,0.12,40,post-market
AMD,2006-06-30,2006-07-20,0.18,0.2,-0.02,-10,post-market
AMD,2006-09-30,2006-10-18,0.23,0.23,0,0,post-market
AMD,2006-12-31,2007-01-23,-0.04,0.12,-0.16,-133.3333,post-market
AMD,2007-03-31,2007-04-19,-0.9,-0.43,-0.47,-109.3023,post-market
AMD,2007-06-30,2007-07-19,-0.92,-0.79,-0.13,-16.4557,post-market
AMD,2007-09-30,2007-10-18,-0.49,-0.61,0.12,19.6721,post-market
AMD,2007-12-31,2008-01-17,-0.17,-0.33,0.16,48.4848,post-market
AMD,2008-03-31,2008-04-17,-0.51,-0.47,-0.04,-8.5106,post-market
AMD,2008-06-30,2008-07-17,-0.6,-0.52,-0.08,-15.3846,post-market
AMD,2008-09-30,2008-10-16,-0.18,-0.39,0.21,53.8462,post-market
AMD,2008-12-31,2009-01-22,-0.69,-0.56,-0.13,-23.2143,post-market
AMD,2009-03-31,2009-04-21,-0.62,-0.63,0.01,1.5873,post-market
AMD,2009-06-30,2009-07-21,-0.62,-0.51,-0.11,-21.5686,post-market
AMD,2009-09-30,2009-10-15,-0.18,-0.45,0.27,60,post-market
AMD,2009-12-31,2010-01-21,-0.08,-0.05,-0.03,-60,post-market
AMD,2010-03-31,2010-04-15,0.06,-0.07,0.13,185.7143,post-market
AMD,2010-06-30,2010-07-15,0.11,0.06,0.05,83.3333,post-market
AMD,2010-09-30,2010-10-14,0.15,0.08,0.07,87.5,post-market
AMD,2010-12-31,2011-01-20,0.14,0.11,0.03,27.2727,post-market
AMD,2011-03-31,2011-04-21,0.08,0.05,0.03,60,post-market
AMD,2011-06-30,2011-07-21,0.09,0.08,0.01,12.5,post-market
AMD,2011-09-30,2011-10-27,0.15,0.1,0.05,50,post-market
AMD,2011-12-31,2012-01-24,0.19,0.16,0.03,18.75,post-market
AMD,2012-03-31,2012-04-19,0.12,0.09,0.03,33.3333,post-market
AMD,2012-06-30,2012-07-19,0.06,0.07,-0.01,-14.2857,post-market
AMD,2012-09-30,2012-10-18,-0.2,-0.16,-0.04,-25,post-market
AMD,2012-12-31,2013-01-22,-0.14,-0.21,0.07,33.3333,post-market
AMD,2013-03-31,2013-04-18,-0.13,-0.17,0.04,23.5294,post-market
AMD,2013-06-30,2013-07-18,-0.09,-0.12,0.03,25,post-market
AMD,2013-09-30,2013-10-17,0.04,0.02,0.02,100,post-market
AMD,2013-12-31,2014-01-21,0.06,0.06,0,0,post-market
AMD,2014-03-31,2014-04-17,0.02,0.01,0.01,100,post-market
AMD,2014-06-30,2014-07-17,0.02,0.03,-0.01,-33.3333,post-market
AMD,2014-09-30,2014-10-16,0.03,0.04,-0.01,-25,post-market
AMD,2014-12-31,2015-01-20,-0.09,0.01,-0.1,-1000,post-market
AMD,2015-03-31,2015-04-16,-0.09,-0.06,-0.03,-50,post-market
AMD,2015-06-30,2015-07-16,-0.17,-0.16,-0.01,-6.25,post-market
AMD,2015-09-30,2015-10-15,-0.17,-0.12,-0.05,-41.6667,post-market
AMD,2015-12-31,2016-01-19,-0.1,-0.1,0,0,post-market
AMD,2016-03-31,2016-04-21,-0.12,-0.13,0.01,7.6923,post-market
AMD,2016-06-30,2016-07-21,-0.05,-0.09,0.04,44.4444,post-market
