,UK_US,EU_US,AU_US,US_JP
2015-01-01,,-0.26,2.64,-0.010000000000000009
2015-01-02,0.3116,-0.32,2.58,0.04999999999999999
2015-01-03,0.3116,-0.32,2.58,0.04999999999999999
2015-01-04,0.3116,-0.32,2.58,0.04999999999999999
2015-01-05,0.3135,-0.32,2.58,0.04999999999999999
2015-01-06,0.31,-0.32,2.58,0.04999999999999999
2015-01-07,0.30920000000000003,-0.32,2.58,0.04999999999999999
2015-01-08,0.3139,-0.32,2.58,0.04999999999999999
2015-01-09,0.3127,-0.32,2.58,0.04999999999999999
2015-01-10,0.3127,-0.32,2.58,0.04999999999999999
2015-01-11,0.3127,-0.32,2.58,0.04999999999999999
2015-01-12,0.3152,-0.32,2.58,0.04999999999999999
2015-01-13,0.3148,-0.32,2.58,0.04999999999999999
2015-01-14,0.3134,-0.32,2.58,0.04999999999999999
2015-01-15,0.3184,-0.32,2.58,0.04999999999999999
2015-01-16,0.3072,-0.33,2.5700000000000003,0.06
2015-01-17,0.3072,-0.33,2.5700000000000003,0.06
2015-01-18,0.3072,-0.33,2.5700000000000003,0.06
2015-01-19,0.3122,-0.33,2.5700000000000003,0.06
2015-01-20,0.3138,-0.32,2.58,0.04999999999999999
2015-01-21,0.3166,-0.32,2.58,0.04999999999999999
2015-01-22,0.3125,-0.32,2.58,0.04999999999999999
2015-01-23,0.3261,-0.32,2.58,0.04999999999999999
2015-01-24,0.3261,-0.32,2.58,0.04999999999999999
2015-01-25,0.3261,-0.32,2.58,0.04999999999999999
2015-01-26,0.3243,-0.32,2.58,0.04999999999999999
2015-01-27,0.3222,-0.31,2.5900000000000003,0.039999999999999994
2015-01-28,0.3274,-0.32,2.58,0.04999999999999999
2015-01-29,0.3307,-0.31,2.5900000000000003,0.039999999999999994
2015-01-30,0.3595,-0.26,2.64,-0.010000000000000009
2015-01-31,0.3595,-0.26,2.64,-0.010000000000000009
2015-02-01,0.3595,-0.26,2.3,-0.020000000000000004
2015-02-02,0.3243,-0.32,2.2399999999999998,0.039999999999999994
2015-02-03,0.33,-0.32,2.2399999999999998,0.039999999999999994
2015-02-04,0.3245,-0.31,2.25,0.03
2015-02-05,0.3227,-0.32,2.2399999999999998,0.039999999999999994
2015-02-06,0.3353,-0.31,2.25,0.03
