,US,EU,UK,AU,JP
2015-01-01,0.06,-0.2,,2.7,0.07
2015-01-02,0.12,-0.2,0.4316,2.7,0.07
2015-01-03,0.12,-0.2,0.4316,2.7,0.07
2015-01-04,0.12,-0.2,0.4316,2.7,0.07
2015-01-05,0.12,-0.2,0.4335,2.7,0.07
2015-01-06,0.12,-0.2,0.43,2.7,0.07
2015-01-07,0.12,-0.2,0.4292,2.7,0.07
2015-01-08,0.12,-0.2,0.4339,2.7,0.07
2015-01-09,0.12,-0.2,0.4327,2.7,0.07
2015-01-10,0.12,-0.2,0.4327,2.7,0.07
2015-01-11,0.12,-0.2,0.4327,2.7,0.07
2015-01-12,0.12,-0.2,0.4352,2.7,0.07
2015-01-13,0.12,-0.2,0.4348,2.7,0.07
2015-01-14,0.12,-0.2,0.4334,2.7,0.07
2015-01-15,0.12,-0.2,0.4384,2.7,0.07
2015-01-16,0.13,-0.2,0.4372,2.7,0.07
2015-01-17,0.13,-0.2,0.4372,2.7,0.07
2015-01-18,0.13,-0.2,0.4372,2.7,0.07
2015-01-19,0.13,-0.2,0.4422,2.7,0.07
2015-01-20,0.12,-0.2,0.4338,2.7,0.07
2015-01-21,0.12,-0.2,0.4366,2.7,0.07
2015-01-22,0.12,-0.2,0.4325,2.7,0.07
2015-01-23,0.12,-0.2,0.4461,2.7,0.07
2015-01-24,0.12,-0.2,0.4461,2.7,0.07
2015-01-25,0.12,-0.2,0.4461,2.7,0.07
2015-01-26,0.12,-0.2,0.4443,2.7,0.07
2015-01-27,0.11,-0.2,0.4322,2.7,0.07
2015-01-28,0.12,-0.2,0.4474,2.7,0.07
2015-01-29,0.11,-0.2,0.4407,2.7,0.07
2015-01-30,0.06,-0.2,0.4195,2.7,0.07
2015-01-31,0.06,-0.2,0.4195,2.7,0.07
2015-02-01,0.06,-0.2,0.4195,2.36,0.08
2015-02-02,0.12,-0.2,0.4443,2.36,0.08
2015-02-03,0.12,-0.2,0.45,2.36,0.08
2015-02-04,0.11,-0.2,0.4345,2.36,0.08
2015-02-05,0.12,-0.2,0.4427,2.36,0.08
2015-02-06,0.11,-0.2,0.4453,2.36,0.08
2015-02-07,0.11,-0.2,0.4453,2.36,0.08
2015-02-08,0.11,-0.2,0.4453,2.36,0.08
2015-02-09,0.12,-0.2,0.4427,2.36,0.08
2015-02-10,0.12,-0.2,0.441,2.36,0.08
2015-02-11,0.12,-0.2,0.4431,2.36,0.08
2015-02-12,0.12,-0.2,0.4423,2.36,0.08
2015-02-13,0.12,-0.2,0.4524,2.36,0.08
2015-02-14,0.12,-0.2,0.4524,2.36,0.08
2015-02-15,0.12,-0.2,0.4524,2.36,0.08
2015-02-16,0.12,-0.2,0.4562,2.36,0.08
2015-02-17,0.12,-0.2,0.4625,2.36,0.08
2015-02-18,0.12,-0.2,0.4643,2.36,0.08
2015-02-19,0.12,-0.2,0.4654,2.36,0.08
2015-02-20,0.12,-0.2,0.4568,2.36,0.08
2015-02-21,0.12,-0.2,0.4568,2.36,0.08
2015-02-22,0.12,-0.2,0.4568,2.36,0.08
2015-02-23,0.11,-0.2,0.4505,2.36,0.08
2015-02-24,0.11,-0.2,0.4598,2.36,0.08
2015-02-25,0.11,-0.2,0.4574,2.36,0.08
2015-02-26,0.11,-0.2,0.4669,2.36,0.08
2015-02-27,0.06,-0.2,0.4442,2.36,0.08
2015-02-28,0.06,-0.2,0.4442,2.36,0.08
2015-03-01,0.06,-0.2,0.4442,2.3,0.07
2015-03-02,0.12,-0.2,0.4639,2.3,0.07
2015-03-03,0.12,-0.2,0.4605,2.3,0.07
2015-03-04,0.11,-0.2,0.4575,2.3,0.07
2015-03-05,0.11,-0.2,0.4628,2.3,0.07
2015-03-06,0.12,-0.2,0.4576,2.3,0.07
2015-03-07,0.12,-0.2,0.4576,2.3,0.07
2015-03-08,0.12,-0.2,0.4576,2.3,0.07
2015-03-09,0.12,-0.2,0.4627,2.3,0.07
2015-03-10,0.12,-0.2,0.4589,2.3,0.07
2015-03-11,0.11,-0.2,0.4559,2.3,0.07
2015-03-12,0.11,-0.2,0.4521,2.3,0.07
2015-03-13,0.11,-0.2,0.4529,2.3,0.07
2015-03-14,0.11,-0.2,0.4529,2.3,0.07
2015-03-15,0.11,-0.2,0.4529,2.3,0.07
2015-03-16,0.12,-0.2,0.4496,2.3,0.07
2015-03-17,0.12,-0.2,0.452,2.3,0.07
2015-03-18,0.11,-0.2,0.4607,2.3,0.07
2015-03-19,0.12,-0.2,0.457,2.3,0.07
2015-03-20,0.12,-0.2,0.4599,2.3,0.07
2015-03-21,0.12,-0.2,0.4599,2.3,0.07
2015-03-22,0.12,-0.2,0.4599,2.3,0.07
2015-03-23,0.12,-0.2,0.4607,2.3,0.07
2015-03-24,0.11,-0.2,0.464,2.3,0.07
2015-03-25,0.12,-0.2,0.4586,2.3,0.07
2015-03-26,0.11,-0.2,0.4554,2.3,0.07
2015-03-27,0.12,-0.2,0.4637,2.3,0.07
2015-03-28,0.12,-0.2,0.4637,2.3,0.07
2015-03-29,0.12,-0.2,0.4637,2.3,0.07
2015-03-30,0.12,-0.2,0.4615,2.3,0.07
2015-03-31,0.06,-0.2,0.4217,2.3,0.07
2015-04-01,0.12,-0.2,0.4573,2.25,0.06
2015-04-02,0.12,-0.2,0.4555,2.25,0.06
2015-04-03,0.12,-0.2,0.4555,2.25,0.06
2015-04-04,0.12,-0.2,0.4555,2.25,0.06
2015-04-05,0.12,-0.2,0.4555,2.25,0.06
2015-04-06,0.13,-0.2,0.4555,2.25,0.06
2015-04-07,0.12,-0.2,0.4561,2.25,0.06
2015-04-08,0.12,-0.2,0.4541,2.25,0.06
2015-04-09,0.12,-0.2,0.4526,2.25,0.06
2015-04-10,0.12,-0.2,0.4547,2.25,0.06
2015-04-11,0.12,-0.2,0.4547,2.25,0.06
2015-04-12,0.12,-0.2,0.4547,2.25,0.06
2015-04-13,0.13,-0.2,0.4537,2.25,0.06
2015-04-14,0.13,-0.2,0.4575,2.25,0.06
2015-04-15,0.13,-0.2,0.4577,2.25,0.06
2015-04-16,0.13,-0.2,0.4601,2.25,0.06
2015-04-17,0.13,-0.2,0.4609,2.25,0.06
2015-04-18,0.13,-0.2,0.4609,2.25,0.06
2015-04-19,0.13,-0.2,0.4609,2.25,0.06
2015-04-20,0.13,-0.2,0.4547,2.25,0.06
2015-04-21,0.13,-0.2,0.4593,2.25,0.06
2015-04-22,0.13,-0.2,0.459,2.25,0.06
2015-04-23,0.13,-0.2,0.4585,2.25,0.06
2015-04-24,0.13,-0.2,0.461,2.25,0.06
2015-04-25,0.13,-0.2,0.461,2.25,0.06
2015-04-26,0.13,-0.2,0.461,2.25,0.06
2015-04-27,0.13,-0.2,0.4651,2.25,0.06
2015-04-28,0.13,-0.2,0.4566,2.25,0.06
2015-04-29,0.13,-0.2,0.4608,2.25,0.06
2015-04-30,0.08,-0.2,0.4529,2.25,0.06
2015-05-01,0.13,-0.2,0.4623,2.15,0.07
2015-05-02,0.13,-0.2,0.4623,2.15,0.07
2015-05-03,0.13,-0.2,0.4623,2.15,0.07
2015-05-04,0.13,-0.2,0.4623,2.15,0.07
2015-05-05,0.13,-0.2,0.4655,2.15,0.07
2015-05-06,0.13,-0.2,0.4632,2.15,0.07
2015-05-07,0.13,-0.2,0.4611,2.15,0.07
