event_id,ticker,freeze_ts,label_surprise,label_ts,hist_prior_beats,hist_mean_surprise,n_present_features,edgar_online
AAPL:2026-04-30,AAPL,2026-04-30T00:00:00,0.07,2026-04-30T00:00:00,4,0.105,1,False
AAPL:2026-01-29,AAPL,2026-01-29T00:00:00,0.17,2026-01-29T00:00:00,4,0.0775,1,False
AAPL:2025-10-30,AAPL,2025-10-30T00:00:00,0.08,2025-10-30T00:00:00,4,0.0625,1,False
AAPL:2025-07-31,AAPL,2025-07-31T00:00:00,0.14,2025-07-31T00:00:00,4,0.0425,1,False
AAPL:2025-05-01,AAPL,2025-05-01T00:00:00,0.03,2025-05-01T00:00:00,4,0.0425,1,False
AAPL:2025-01-30,AAPL,2025-01-30T00:00:00,0.06,2025-01-30T00:00:00,4,0.045,1,False
AAPL:2024-10-31,AAPL,2024-10-31T00:00:00,0.02,2024-10-31T00:00:00,4,0.0575,1,False
AAPL:2024-08-01,AAPL,2024-08-01T00:00:00,0.06,2024-08-01T00:00:00,4,0.06,1,False
AAPL:2024-05-02,AAPL,2024-05-02T00:00:00,0.03,2024-05-02T00:00:00,4,0.075,1,False
AAPL:2024-02-01,AAPL,2024-02-01T00:00:00,0.07,2024-02-01T00:00:00,3,0.04,1,False
AAPL:2023-11-02,AAPL,2023-11-02T00:00:00,0.07,2023-11-02T00:00:00,3,0.0275,1,False
AAPL:2023-08-03,AAPL,2023-08-03T00:00:00,0.07,2023-08-03T00:00:00,3,0.0225,1,False
AAPL:2023-05-04,AAPL,2023-05-04T00:00:00,0.09,2023-05-04T00:00:00,3,0.0225,1,False
AAPL:2023-02-02,AAPL,2023-02-02T00:00:00,-0.07,2023-02-02T00:00:00,4,0.0925,1,False
AAPL:2022-10-27,AAPL,2022-10-27T00:00:00,0.02,2022-10-27T00:00:00,3,0.0875,1,False
AAPL:2022-07-28,AAPL,2022-07-28T00:00:00,0.05,2022-07-28T00:00:00,3,0.1475,1,False
AAPL:2022-04-28,AAPL,2022-04-28T00:00:00,0.09,2022-04-28T00:00:00,3,0.23,1,False
AAPL:2022-01-27,AAPL,2022-01-27T00:00:00,0.21,2022-01-27T00:00:00,3,0.2425,1,False
AAPL:2021-10-28,AAPL,2021-10-28T00:00:00,0.0,2021-10-28T00:00:00,4,0.25,1,False
AAPL:2021-07-27,AAPL,2021-07-27T00:00:00,0.29,2021-07-27T00:00:00,4,0.2125,1,False
AAPL:2021-04-28,AAPL,2021-04-28T00:00:00,0.42,2021-04-28T00:00:00,4,0.1275,1,False
AAPL:2021-01-27,AAPL,2021-01-27T00:00:00,0.26,2021-01-27T00:00:00,4,0.09,1,False
AAPL:2020-10-29,AAPL,2020-10-29T00:00:00,0.03,2020-10-29T00:00:00,4,0.095,1,False
AAPL:2020-07-30,AAPL,2020-07-30T00:00:00,0.14,2020-07-30T00:00:00,4,0.065,1,False
AAPL:2020-04-30,AAPL,2020-04-30T00:00:00,0.08,2020-04-30T00:00:00,4,0.0525,1,False
AAPL:2020-01-28,AAPL,2020-01-28T00:00:00,0.11,2020-01-28T00:00:00,4,0.0275,1,False
AAPL:2019-10-30,AAPL,2019-10-30T00:00:00,0.05,2019-10-30T00:00:00,4,0.0225,1,False
AAPL:2019-07-30,AAPL,2019-07-30T00:00:00,0.02,2019-07-30T00:00:00,4,0.0275,1,False
AAPL:2019-04-30,AAPL,2019-04-30T00:00:00,0.03,2019-04-30T00:00:00,4,0.0225,1,False
AAPL:2019-01-29,AAPL,2019-01-29T00:00:00,0.01,2019-01-29T00:00:00,4,0.0219,1,False
AAPL:2018-11-01,AAPL,2018-11-01T00:00:00,0.03,2018-11-01T00:00:00,4,0.0269,1,False
AAPL:2018-07-31,AAPL,2018-07-31T00:00:00,0.04,2018-07-31T00:00:00,4,0.0231,1,False
AAPL:2018-05-01,AAPL,2018-05-01T00:00:00,0.01,2018-05-01T00:00:00,4,0.0256,1,False
AAPL:2018-02-01,AAPL,2018-02-01T00:00:00,0.0075,2018-02-01T00:00:00,4,0.0331,1,False
AAPL:2017-11-02,AAPL,2017-11-02T00:00:00,0.05,2017-11-02T00:00:00,4,0.0212,1,False
AAPL:2017-08-01,AAPL,2017-08-01T00:00:00,0.025,2017-08-01T00:00:00,4,0.0175,1,False
AAPL:2017-05-02,AAPL,2017-05-02T00:00:00,0.02,2017-05-02T00:00:00,3,0.0063,1,False
AAPL:2017-01-31,AAPL,2017-01-31T00:00:00,0.0375,2017-01-31T00:00:00,3,0.0,1,False
AAPL:2016-10-25,AAPL,2016-10-25T00:00:00,0.0025,2016-10-25T00:00:00,3,0.0044,1,False
AAPL:2016-07-26,AAPL,2016-07-26T00:00:00,0.01,2016-07-26T00:00:00,3,0.0044,1,False
AAPL:2016-04-26,AAPL,2016-04-26T00:00:00,-0.025,2016-04-26T00:00:00,4,0.0213,1,False
AAPL:2016-01-26,AAPL,2016-01-26T00:00:00,0.0125,2016-01-26T00:00:00,4,0.0469,1,False
AAPL:2015-10-27,AAPL,2015-10-27T00:00:00,0.02,2015-10-27T00:00:00,4,0.0488,1,False
AAPL:2015-07-21,AAPL,2015-07-21T00:00:00,0.01,2015-07-21T00:00:00,4,0.0494,1,False
AAPL:2015-04-27,AAPL,2015-04-27T00:00:00,0.0425,2015-04-27T00:00:00,4,0.0513,1,False
AAPL:2015-01-27,AAPL,2015-01-27T00:00:00,0.115,2015-01-27T00:00:00,4,0.0262,1,False
AAPL:2014-10-20,AAPL,2014-10-20T00:00:00,0.0275,2014-10-20T00:00:00,4,0.0219,1,False
AAPL:2014-07-22,AAPL,2014-07-22T00:00:00,0.0125,2014-07-22T00:00:00,4,0.02,1,False
AAPL:2014-04-23,AAPL,2014-04-23T00:00:00,0.05,2014-04-23T00:00:00,4,0.0081,1,False
AAPL:2014-01-27,AAPL,2014-01-27T00:00:00,0.015,2014-01-27T00:00:00,4,0.0075,1,False
AAPL:2013-10-28,AAPL,2013-10-28T00:00:00,0.01,2013-10-28T00:00:00,3,0.0044,1,False
AAPL:2013-07-23,AAPL,2013-07-23T00:00:00,0.005,2013-07-23T00:00:00,2,-0.0062,1,False
AAPL:2013-04-23,AAPL,2013-04-23T00:00:00,0.0025,2013-04-23T00:00:00,2,0.0138,1,False
AAPL:2013-01-23,AAPL,2013-01-23T00:00:00,0.0125,2013-01-23T00:00:00,2,0.0438,1,False
AAPL:2012-10-25,AAPL,2012-10-25T00:00:00,-0.0025,2012-10-25T00:00:00,2,0.0413,1,False
AAPL:2012-07-24,AAPL,2012-07-24T00:00:00,-0.0375,2012-07-24T00:00:00,3,0.0681,1,False
AAPL:2012-04-24,AAPL,2012-04-24T00:00:00,0.0825,2012-04-24T00:00:00,3,0.0563,1,False
AAPL:2012-01-24,AAPL,2012-01-24T00:00:00,0.1325,2012-01-24T00:00:00,3,0.0325,1,False
AAPL:2011-10-18,AAPL,2011-10-18T00:00:00,-0.0125,2011-10-18T00:00:00,4,0.0406,1,False
AAPL:2011-07-19,AAPL,2011-07-19T00:00:00,0.07,2011-07-19T00:00:00,4,0.0269,1,False
AAPL:2011-04-20,AAPL,2011-04-20T00:00:00,0.035,2011-04-20T00:00:00,4,0.0262,1,False
AAPL:2011-01-18,AAPL,2011-01-18T00:00:00,0.0375,2011-01-18T00:00:00,4,0.0306,1,False
AAPL:2010-10-18,AAPL,2010-10-18T00:00:00,0.02,2010-10-18T00:00:00,4,0.0294,1,False
AAPL:2010-07-20,AAPL,2010-07-20T00:00:00,0.015,2010-07-20T00:00:00,4,0.0269,1,False
AAPL:2010-04-20,AAPL,2010-04-20T00:00:00,0.0325,2010-04-20T00:00:00,4,0.0206,1,False
AAPL:2010-01-25,AAPL,2010-01-25T00:00:00,0.055,2010-01-25T00:00:00,4,0.01,1,False
AAPL:2009-10-19,AAPL,2009-10-19T00:00:00,0.015,2009-10-19T00:00:00,4,0.0075,1,False
AAPL:2009-07-21,AAPL,2009-07-21T00:00:00,0.005,2009-07-21T00:00:00,4,0.0075,1,False
AAPL:2009-04-22,AAPL,2009-04-22T00:00:00,0.0075,2009-04-22T00:00:00,4,0.0069,1,False
AAPL:2009-01-21,AAPL,2009-01-21T00:00:00,0.0125,2009-01-21T00:00:00,3,0.0037,1,False
AAPL:2008-10-21,AAPL,2008-10-21T00:00:00,0.005,2008-10-21T00:00:00,3,0.005,1,False
AAPL:2008-07-21,AAPL,2008-07-21T00:00:00,0.005,2008-07-21T00:00:00,2,0.0037,1,False
AAPL:2008-04-23,AAPL,2008-04-23T00:00:00,0.005,2008-04-23T00:00:00,2,0.005,1,False
AAPL:2008-01-22,AAPL,2008-01-22T00:00:00,0.0,2008-01-22T00:00:00,3,0.0075,1,False
AAPL:2007-10-22,AAPL,2007-10-22T00:00:00,0.01,2007-10-22T00:00:00,2,0.005,1,False
AAPL:2007-07-25,AAPL,2007-07-25T00:00:00,0.0,2007-07-25T00:00:00,2,0.005,1,False
AAPL:2007-04-25,AAPL,2007-04-25T00:00:00,0.01,2007-04-25T00:00:00,2,0.005,1,False
AAPL:2007-01-17,AAPL,2007-01-17T00:00:00,0.01,2007-01-17T00:00:00,1,0.0025,1,False
AAPL:2006-10-18,AAPL,2006-10-18T00:00:00,0.0,2006-10-18T00:00:00,1,0.0025,1,False
AAPL:2006-07-19,AAPL,2006-07-19T00:00:00,0.0,2006-07-19T00:00:00,1,0.0025,1,False
AAPL:2006-04-19,AAPL,2006-04-19T00:00:00,0.01,2006-04-19T00:00:00,0,0.0,1,False
AAPL:2006-01-18,AAPL,2006-01-18T00:00:00,0.0,2006-01-18T00:00:00,0,0.0,1,False
AAPL:2005-10-11,AAPL,2005-10-11T00:00:00,0.0,2005-10-11T00:00:00,1,0.0025,1,False
AAPL:2005-07-13,AAPL,2005-07-13T00:00:00,0.0,2005-07-13T00:00:00,1,0.0025,1,False
AAPL:2005-04-13,AAPL,2005-04-13T00:00:00,0.0,2005-04-13T00:00:00,1,0.0025,1,False
AAPL:2005-01-12,AAPL,2005-01-12T00:00:00,0.0,2005-01-12T00:00:00,1,0.0025,1,False
AAPL:2004-10-13,AAPL,2004-10-13T00:00:00,0.01,2004-10-13T00:00:00,0,0.0,1,False
AAPL:2004-07-14,AAPL,2004-07-14T00:00:00,0.0,2004-07-14T00:00:00,0,0.0,1,False
AAPL:2004-04-14,AAPL,2004-04-14T00:00:00,0.0,2004-04-14T00:00:00,0,0.0,1,False
AAPL:2004-01-14,AAPL,2004-01-14T00:00:00,0.0,2004-01-14T00:00:00,0,0.0,1,False
AAPL:2003-10-15,AAPL,2003-10-15T00:00:00,0.0,2003-10-15T00:00:00,0,0.0,1,False
AAPL:2003-07-16,AAPL,2003-07-16T00:00:00,0.0,2003-07-16T00:00:00,0,0.0,1,False
AAPL:2003-04-16,AAPL,2003-04-16T00:00:00,0.0,2003-04-16T00:00:00,0,0.0,1,False
AAPL:2003-01-15,AAPL,2003-01-15T00:00:00,0.0,2003-01-15T00:00:00,0,0.0,1,False
AAPL:2002-10-16,AAPL,2002-10-16T00:00:00,0.0,2002-10-16T00:00:00,0,0.0,1,False
AAPL:2002-07-16,AAPL,2002-07-16T00:00:00,0.0,2002-07-16T00:00:00,0,0.0,1,False
AAPL:2002-04-17,AAPL,2002-04-17T00:00:00,0.0,2002-04-17T00:00:00,0,0.0,1,False
AAPL:2002-01-16,AAPL,2002-01-16T00:00:00,0.0,2002-01-16T00:00:00,0,0.0,1,False
AAPL:2001-10-17,AAPL,2001-10-17T00:00:00,0.0,2001-10-17T00:00:00,0,-0.0025,1,False
AAPL:2001-07-18,AAPL,2001-07-18T00:00:00,0.0,2001-07-18T00:00:00,0,-0.0025,1,False
AAPL:2001-04-18,AAPL,2001-04-18T00:00:00,0.0,2001-04-18T00:00:00,0,-0.0025,1,False
AAPL:2001-01-17,AAPL,2001-01-17T00:00:00,0.0,2001-01-17T00:00:00,0,-0.0025,1,False
AAPL:2000-10-18,AAPL,2000-10-18T00:00:00,-0.01,2000-10-18T00:00:00,0,0.0,1,False
AAPL:2000-07-18,AAPL,2000-07-18T00:00:00,0.0,2000-07-18T00:00:00,0,0.0,1,False
AAPL:2000-04-19,AAPL,2000-04-19T00:00:00,0.0,2000-04-19T00:00:00,0,0.0,1,False
AAPL:2000-01-19,AAPL,2000-01-19T00:00:00,0.0,2000-01-19T00:00:00,0,0.0,1,False
AAPL:1999-10-13,AAPL,1999-10-13T00:00:00,0.0,1999-10-13T00:00:00,0,-0.0025,1,False
AAPL:1999-07-14,AAPL,1999-07-14T00:00:00,0.0,1999-07-14T00:00:00,0,-0.0025,1,False
AAPL:1999-04-14,AAPL,1999-04-14T00:00:00,0.0,1999-04-14T00:00:00,0,-0.0025,1,False
AAPL:1999-01-13,AAPL,1999-01-13T00:00:00,0.0,1999-01-13T00:00:00,0,-0.0025,1,False
AAPL:1998-10-14,AAPL,1998-10-14T00:00:00,-0.01,1998-10-14T00:00:00,0,0.0,1,False
AAPL:1998-07-15,AAPL,1998-07-15T00:00:00,0.0,1998-07-15T00:00:00,0,0.0,1,False
AAPL:1998-04-15,AAPL,1998-04-15T00:00:00,0.0,1998-04-15T00:00:00,0,-0.0025,1,False
AAPL:1998-01-14,AAPL,1998-01-14T00:00:00,0.0,1998-01-14T00:00:00,0,-0.005,1,False
AAPL:1997-10-15,AAPL,1997-10-15T00:00:00,0.0,1997-10-15T00:00:00,1,-0.0021,1,False
AAPL:1997-07-16,AAPL,1997-07-16T00:00:00,0.0,1997-07-16T00:00:00,2,0.0029,1,False
AAPL:1997-04-16,AAPL,1997-04-16T00:00:00,-0.01,1997-04-16T00:00:00,2,0.0004,1,False
