feature,ic,p_value,icir,is_real,passes_alpha
atr_14,0.0398618058435671,0.2270839037721223,0.7810911864331932,False,False
logistic_k,0.052593739363747095,0.11089534509500346,0.4347995913328838,False,False
csd_variance_vel,0.052223806726977205,0.11343213279547368,0.3763749483068064,False,False
csd_score,0.04485659033369057,0.17401914994743883,0.2897740884593644,False,False
adx_14,0.054587184928784976,0.09798656153688734,0.23680721877373903,False,False
adx_zscore,0.03768713759911639,0.25347103497770046,0.2278275190111981,False,False
hurst_velocity,0.022366995829711068,0.49803359684281007,0.12585618650893024,False,False
hurst_60,-0.022636857772323316,0.4928617605869381,-0.0006954085434251966,False,False
hurst_90,0.014766247878399941,0.6546599518351944,-0.033075990548547554,False,False
csd_ar1,-0.0067308066828644505,0.8384470982698341,-0.04069521469386521,False,False
volume_zscore,-0.002307237548126685,0.9442836567581584,-0.07318801733215057,False,False
logistic_acceleration,0.0023754138456521163,0.9426400947498079,-0.10348690960705763,False,False
csd_recovery,-0.011192920265548424,0.7345742198541251,-0.1107851124304595,False,False
volume_entropy,-0.001739178882103773,0.9579866924729361,-0.1405487435036209,False,False
ofi_decay,0.0026318840155361537,0.9364594739070423,-0.1478878605047009,False,False
rsi_divergence,-0.002184862326912977,0.9472344102988844,-0.19819229392515336,False,False
roc_10,0.005651328091304464,0.8640809822745161,-0.24026100041251633,False,False
momentum_12_1,-0.03653506758588065,0.2682824868690564,-0.26487757792156374,False,False
rsi_14,0.003709806155283333,0.9105289334389003,-0.28018787123037814,False,False
roc_5,-0.01456847651440975,0.6589911721747946,-0.28633206021456,False,False
